INSERT INTO `lucky_cooperation`.`t_actuality_cup_commodity_week` (`week_id`, `wh_dept_id`, `commodity_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
('103', '326932', '5352', 10, 16.685288154665084, 1, '2023-06-01', 1, '2023-06-01'),
('104', '326932', '5352', 10, 6.867741420157629, 1, '2023-06-01', 1, '2023-06-01'),
('105', '326932', '5352', 10, 17.919184038585055, 1, '2023-06-01', 1, '2023-06-01'),
('106', '326932', '5352', 10, 14.521554859971426, 1, '2023-06-01', 1, '2023-06-01'),
('107', '326932', '5352', 10, 5.6480563402182575, 1, '2023-06-01', 1, '2023-06-01'),
('108', '326932', '5352', 10, 1.9374173785304127, 1, '2023-06-01', 1, '2023-06-01'),
('109', '326932', '5352', 10, 11.724544190618541, 1, '2023-06-01', 1, '2023-06-01'),
('102', '326327', '5352', 10, 16.578104235627457, 1, '2023-06-01', 1, '2023-06-01'),
('103', '326327', '5352', 10, 5.60153908081884, 1, '2023-06-01', 1, '2023-06-01'),
('104', '326327', '5352', 10, 0.12751196972075496, 1, '2023-06-01', 1, '2023-06-01'),
('105', '326327', '5352', 10, 19.487091988803563, 1, '2023-06-01', 1, '2023-06-01'),
('106', '326327', '5352', 10, 13.927453127824727, 1, '2023-06-01', 1, '2023-06-01'),
('107', '326327', '5352', 10, 12.869267671640497, 1, '2023-06-01', 1, '2023-06-01'),
('108', '326327', '5352', 10, 3.893241675775354, 1, '2023-06-01', 1, '2023-06-01'),
('109', '326327', '5352', 10, 5.596053025207787, 1, '2023-06-01', 1, '2023-06-01'),
('102', '-1', '5352', 10, 19.57226949998684, 1, '2023-06-01', 1, '2023-06-01'),
('103', '-1', '5352', 10, 18.435863792538328, 1, '2023-06-01', 1, '2023-06-01'),
('104', '-1', '5352', 10, 1.695369855698885, 1, '2023-06-01', 1, '2023-06-01'),
('105', '-1', '5352', 10, 14.631782426271933, 1, '2023-06-01', 1, '2023-06-01'),
('106', '-1', '5352', 10, 14.495761114020487, 1, '2023-06-01', 1, '2023-06-01'),
('107', '-1', '5352', 10, 6.029057499814964, 1, '2023-06-01', 1, '2023-06-01'),
('108', '-1', '5352', 10, 11.389424843713918, 1, '2023-06-01', 1, '2023-06-01'),
('109', '-1', '5352', 10, 11.403399212477849, 1, '2023-06-01', 1, '2023-06-01'),
('102', '327193', '6192', 10, 2.1760340970120495, 1, '2023-06-01', 1, '2023-06-01'),
('103', '327193', '6192', 10, 5.14520661141516, 1, '2023-06-01', 1, '2023-06-01'),
('104', '327193', '6192', 10, 0.022438651494787187, 1, '2023-06-01', 1, '2023-06-01'),
('105', '327193', '6192', 10, 1.061130517783666, 1, '2023-06-01', 1, '2023-06-01'),
('106', '327193', '6192', 10, 17.80878123751036, 1, '2023-06-01', 1, '2023-06-01'),
('107', '327193', '6192', 10, 16.732855724180332, 1, '2023-06-01', 1, '2023-06-01'),
('108', '327193', '6192', 10, 9.211424780628388, 1, '2023-06-01', 1, '2023-06-01'),
('109', '327193', '6192', 10, 2.1767082191982667, 1, '2023-06-01', 1, '2023-06-01'),
('102', '245971', '6192', 10, 3.2871754805195996, 1, '2023-06-01', 1, '2023-06-01'),
('103', '245971', '6192', 10, 17.038252009684278, 1, '2023-06-01', 1, '2023-06-01'),
('104', '245971', '6192', 10, 12.829227253099154, 1, '2023-06-01', 1, '2023-06-01'),
('105', '245971', '6192', 10, 9.40869717178185, 1, '2023-06-01', 1, '2023-06-01'),
('106', '245971', '6192', 10, 8.848503327096676, 1, '2023-06-01', 1, '2023-06-01'),
('107', '245971', '6192', 10, 12.912598033352602, 1, '2023-06-01', 1, '2023-06-01'),
('108', '245971', '6192', 10, 1.303876709486469, 1, '2023-06-01', 1, '2023-06-01'),
('109', '245971', '6192', 10, 9.919952218211154, 1, '2023-06-01', 1, '2023-06-01'),
('102', '245871', '6192', 10, 6.2403809346470425, 1, '2023-06-01', 1, '2023-06-01'),
('103', '245871', '6192', 10, 6.048534132377599, 1, '2023-06-01', 1, '2023-06-01'),
('104', '245871', '6192', 10, 11.075090829520404, 1, '2023-06-01', 1, '2023-06-01'),
('105', '245871', '6192', 10, 3.6169790783176636, 1, '2023-06-01', 1, '2023-06-01'),
('106', '245871', '6192', 10, 4.072396011855792, 1, '2023-06-01', 1, '2023-06-01'),
('107', '245871', '6192', 10, 0.5186694705718486, 1, '2023-06-01', 1, '2023-06-01'),
('108', '245871', '6192', 10, 15.564391511231136, 1, '2023-06-01', 1, '2023-06-01'),
('109', '245871', '6192', 10, 8.234578592969067, 1, '2023-06-01', 1, '2023-06-01'),
('102', '326932', '6192', 10, 9.782487520214097, 1, '2023-06-01', 1, '2023-06-01'),
('103', '326932', '6192', 10, 18.581023670299405, 1, '2023-06-01', 1, '2023-06-01'),
('104', '326932', '6192', 10, 17.553268514611112, 1, '2023-06-01', 1, '2023-06-01'),
('105', '326932', '6192', 10, 0.5945112193159763, 1, '2023-06-01', 1, '2023-06-01'),
('106', '326932', '6192', 10, 2.0547398219220803, 1, '2023-06-01', 1, '2023-06-01'),
('107', '326932', '6192', 10, 16.958493974460286, 1, '2023-06-01', 1, '2023-06-01'),
('108', '326932', '6192', 10, 16.346278367730505, 1, '2023-06-01', 1, '2023-06-01'),
('109', '326932', '6192', 10, 10.960627640088685, 1, '2023-06-01', 1, '2023-06-01'),
('102', '326327', '6192', 10, 3.9470873167248377, 1, '2023-06-01', 1, '2023-06-01'),
('103', '326327', '6192', 10, 12.773948978157195, 1, '2023-06-01', 1, '2023-06-01'),
('104', '326327', '6192', 10, 7.871541368013424, 1, '2023-06-01', 1, '2023-06-01'),
('105', '326327', '6192', 10, 2.4316052980436065, 1, '2023-06-01', 1, '2023-06-01'),
('106', '326327', '6192', 10, 18.93514819281882, 1, '2023-06-01', 1, '2023-06-01'),
('107', '326327', '6192', 10, 8.997886021485595, 1, '2023-06-01', 1, '2023-06-01'),
('108', '326327', '6192', 10, 19.516924518212896, 1, '2023-06-01', 1, '2023-06-01'),
('109', '326327', '6192', 10, 11.228742685028744, 1, '2023-06-01', 1, '2023-06-01'),
('102', '-1', '6192', 10, 18.831180684514294, 1, '2023-06-01', 1, '2023-06-01'),
('103', '-1', '6192', 10, 3.3529343286808166, 1, '2023-06-01', 1, '2023-06-01'),
('104', '-1', '6192', 10, 14.169969364666276, 1, '2023-06-01', 1, '2023-06-01'),
('105', '-1', '6192', 10, 17.471458803317187, 1, '2023-06-01', 1, '2023-06-01'),
('106', '-1', '6192', 10, 18.942595204420765, 1, '2023-06-01', 1, '2023-06-01'),
('107', '-1', '6192', 10, 13.748665962888412, 1, '2023-06-01', 1, '2023-06-01'),
('108', '-1', '6192', 10, 3.561876149408303, 1, '2023-06-01', 1, '2023-06-01'),
('109', '-1', '6192', 10, 18.23373599365459, 1, '2023-06-01', 1, '2023-06-01'),
('102', '327193', '800', 10, 7.605814101978008, 1, '2023-06-01', 1, '2023-06-01'),
('103', '327193', '800', 10, 16.928059649131963, 1, '2023-06-01', 1, '2023-06-01'),
('104', '327193', '800', 10, 5.938479277249482, 1, '2023-06-01', 1, '2023-06-01'),
('105', '327193', '800', 10, 11.288866163048777, 1, '2023-06-01', 1, '2023-06-01'),
('106', '327193', '800', 10, 15.719698265903986, 1, '2023-06-01', 1, '2023-06-01'),
('107', '327193', '800', 10, 3.5047740863066346, 1, '2023-06-01', 1, '2023-06-01'),
('108', '327193', '800', 10, 19.0959522162745, 1, '2023-06-01', 1, '2023-06-01'),
('109', '327193', '800', 10, 8.478189088206843, 1, '2023-06-01', 1, '2023-06-01'),
('102', '245971', '800', 10, 14.140060687839103, 1, '2023-06-01', 1, '2023-06-01'),
('103', '245971', '800', 10, 0.7201154224540662, 1, '2023-06-01', 1, '2023-06-01'),
('104', '245971', '800', 10, 15.218886355906005, 1, '2023-06-01', 1, '2023-06-01'),
('105', '245971', '800', 10, 7.1915333878442915, 1, '2023-06-01', 1, '2023-06-01'),
('106', '245971', '800', 10, 9.425981202235846, 1, '2023-06-01', 1, '2023-06-01'),
('107', '245971', '800', 10, 18.00599157306522, 1, '2023-06-01', 1, '2023-06-01'),
('108', '245971', '800', 10, 8.86871155733427, 1, '2023-06-01', 1, '2023-06-01'),
('109', '245971', '800', 10, 1.7695266456791003, 1, '2023-06-01', 1, '2023-06-01'),
('102', '245871', '800', 10, 4.714070556731786, 1, '2023-06-01', 1, '2023-06-01'),
('103', '245871', '800', 10, 4.0426701379705605, 1, '2023-06-01', 1, '2023-06-01'),
('104', '245871', '800', 10, 19.348747577744195, 1, '2023-06-01', 1, '2023-06-01'),
('105', '245871', '800', 10, 15.43514094835488, 1, '2023-06-01', 1, '2023-06-01'),
('106', '245871', '800', 10, 5.262164873238997, 1, '2023-06-01', 1, '2023-06-01'),
('107', '245871', '800', 10, 19.354448862367047, 1, '2023-06-01', 1, '2023-06-01'),
('108', '245871', '800', 10, 18.46370706505219, 1, '2023-06-01', 1, '2023-06-01'),
('109', '245871', '800', 10, 17.878651952507575, 1, '2023-06-01', 1, '2023-06-01'),
('102', '326932', '800', 10, 12.203321401508889, 1, '2023-06-01', 1, '2023-06-01'),
('103', '326932', '800', 10, 9.482735671324056, 1, '2023-06-01', 1, '2023-06-01'),
('104', '326932', '800', 10, 1.9691508843736116, 1, '2023-06-01', 1, '2023-06-01'),
('105', '326932', '800', 10, 7.363288917567714, 1, '2023-06-01', 1, '2023-06-01'),
('106', '326932', '800', 10, 4.829551105025766, 1, '2023-06-01', 1, '2023-06-01'),
('107', '326932', '800', 10, 10.115098103188062, 1, '2023-06-01', 1, '2023-06-01'),
('108', '326932', '800', 10, 11.868150123150514, 1, '2023-06-01', 1, '2023-06-01'),
('109', '326932', '800', 10, 16.80321089160867, 1, '2023-06-01', 1, '2023-06-01'),
('102', '326327', '800', 10, 12.722446379152357, 1, '2023-06-01', 1, '2023-06-01'),
('103', '326327', '800', 10, 18.80509873755003, 1, '2023-06-01', 1, '2023-06-01'),
('104', '326327', '800', 10, 3.7805601498793107, 1, '2023-06-01', 1, '2023-06-01'),
('105', '326327', '800', 10, 4.948650605573306, 1, '2023-06-01', 1, '2023-06-01'),
('106', '326327', '800', 10, 12.044848371654266, 1, '2023-06-01', 1, '2023-06-01'),
('107', '326327', '800', 10, 16.80260845619912, 1, '2023-06-01', 1, '2023-06-01'),
('108', '326327', '800', 10, 11.578742553508912, 1, '2023-06-01', 1, '2023-06-01'),
('109', '326327', '800', 10, 7.379330310164159, 1, '2023-06-01', 1, '2023-06-01'),
('102', '-1', '800', 10, 13.690769443576123, 1, '2023-06-01', 1, '2023-06-01'),
('103', '-1', '800', 10, 2.830705403346361, 1, '2023-06-01', 1, '2023-06-01'),
('104', '-1', '800', 10, 0.849512344668808, 1, '2023-06-01', 1, '2023-06-01'),
('105', '-1', '800', 10, 1.9329950835356735, 1, '2023-06-01', 1, '2023-06-01'),
('106', '-1', '800', 10, 10.804837294414861, 1, '2023-06-01', 1, '2023-06-01'),
('107', '-1', '800', 10, 12.95794944759628, 1, '2023-06-01', 1, '2023-06-01'),
('108', '-1', '800', 10, 9.115631158001474, 1, '2023-06-01', 1, '2023-06-01'),
('109', '-1', '800', 10, 16.3426104176405, 1, '2023-06-01', 1, '2023-06-01'),
