INSERT INTO `lucky_cooperation`.`t_bi_warehouse_commodity_sale_shop_week` (`wh_dept_id`, `commodity_id`, `mark_type`, `type`, `year`, `week_id`, `amount`, `create_time`) VALUES 
(245871, 6192, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, 2, 703.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, 2, 703.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, 2, 1407.0, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, 2, 703.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, 2, 703.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, 2, 1407.0, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, 2, 703.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, 2, 703.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, 2, 1407.0, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, 3, 140.7, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, 3, 281.4, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, 3, 703.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, 3, 703.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, 3, 1407.0, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, 3, 703.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, 3, 703.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, 3, 1407.0, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, 3, 703.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, 3, 703.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, 3, 1407.0, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, 4, 140.7, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, 4, 281.4, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, 4, 703.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, 4, 703.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, 4, 1407.0, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, 4, 703.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, 4, 703.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, 4, 1407.0, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, 4, 703.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, 4, 703.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, 4, 1407.0, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, 5, 140.7, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, 5, 281.4, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, 5, 703.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, 5, 703.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, 5, 1407.0, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, 5, 703.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, 5, 703.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, 5, 1407.0, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, 5, 703.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, 5, 703.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, 5, 1407.0, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, 6, 20.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, 6, 40.2, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, 6, 100.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, 6, 100.5, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, 6, 201.0, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, 6, 100.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, 6, 100.5, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, 6, 201.0, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, 6, 100.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, 6, 100.5, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, 6, 201.0, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, 7, 120.6, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, 7, 241.2, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, 7, 603.0, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, 7, 603.0, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, 7, 1206.0, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, 7, 603.0, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, 7, 603.0, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, 7, 1206.0, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, 7, 603.0, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, 7, 603.0, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, 7, 1206.0, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, 8, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, 8, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, 8, 281.4, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, 8, 140.7, '2023-06-01 00:00:00'),
