INSERT INTO `lucky_cooperation`.`t_alg_new_demand_plan` (`wh_dept_id`, `goods_id`, `predict_date`, `pred_shop_consume`, `pred_shop_order`, `pred_wh_consume`, `pred_wh_cg`, `update_time`) VALUES 
(245871, 83625, '2023-01-06', 23822, 200, 14595, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-06', 21386, 200, 23459, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-06', 11732, 200, 20970, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-06', 28922, 200, 19661, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-07', 15582, 200, 11323, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-07', 20647, 200, 12441, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-07', 18039, 200, 25680, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-07', 27804, 200, 24944, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-07', 14826, 200, 17469, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-07', 22955, 200, 24157, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-08', 21999, 200, 28050, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-08', 28986, 200, 12020, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-08', 28033, 200, 25299, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-08', 21132, 200, 17519, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-08', 17304, 200, 11839, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-08', 25143, 200, 18641, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-09', 16287, 200, 18523, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-09', 15085, 200, 11685, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-09', 18902, 200, 28754, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-09', 28415, 200, 19179, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-09', 25149, 200, 27757, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-09', 16909, 200, 27001, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-10', 14950, 200, 18221, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-10', 11918, 200, 12771, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-10', 17414, 200, 22439, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-10', 20463, 200, 29673, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-10', 17731, 200, 18978, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-10', 28367, 200, 17504, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-11', 23339, 200, 28567, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-11', 23308, 200, 28843, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-11', 22437, 200, 24842, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-11', 14498, 200, 13411, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-11', 20032, 200, 11954, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-11', 24347, 200, 26714, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-12', 19690, 200, 13289, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-12', 25966, 200, 29904, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-12', 25782, 200, 25518, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-12', 12304, 200, 12544, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-12', 22030, 200, 10126, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-12', 23154, 200, 28325, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-13', 11755, 200, 23208, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-13', 11134, 200, 13496, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-13', 12004, 200, 15358, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-13', 16255, 200, 24640, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-13', 23156, 200, 13639, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-13', 26463, 200, 12035, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-14', 13209, 200, 23526, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-14', 18412, 200, 12050, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-14', 15456, 200, 21072, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-14', 24397, 200, 28135, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-14', 22374, 200, 28857, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-14', 14558, 200, 10244, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-15', 27113, 200, 10180, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-15', 22201, 200, 28999, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-15', 26845, 200, 28817, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-15', 21229, 200, 23614, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-15', 25700, 200, 25421, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-15', 19678, 200, 17699, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-16', 26875, 200, 25328, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-16', 26584, 200, 21931, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-16', 14080, 200, 20509, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-16', 22457, 200, 22700, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-16', 19602, 200, 20337, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-16', 11882, 200, 28797, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-17', 27996, 200, 12636, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-17', 25161, 200, 18135, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-17', 14369, 200, 24272, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-17', 23087, 200, 20652, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-17', 29323, 200, 11139, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-17', 17154, 200, 10460, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-18', 19913, 200, 12945, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-18', 26075, 200, 18594, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-18', 14213, 200, 19543, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-18', 13247, 200, 20385, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-18', 22098, 200, 29680, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-18', 21234, 200, 17105, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-19', 23043, 200, 29659, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-19', 17713, 200, 29450, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-19', 13115, 200, 18186, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-19', 13140, 200, 27936, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-19', 10669, 200, 27618, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-19', 25355, 200, 10782, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-20', 29121, 200, 19053, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-20', 24815, 200, 19307, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-20', 10740, 200, 16816, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-20', 16365, 200, 10476, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-20', 21823, 200, 25130, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-20', 27640, 200, 10986, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-21', 16993, 200, 13496, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-21', 23187, 200, 23697, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-21', 10298, 200, 29549, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-21', 17923, 200, 12610, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-21', 24019, 200, 15432, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-21', 22290, 200, 12184, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-22', 17617, 200, 22578, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-22', 19488, 200, 24742, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-22', 19832, 200, 19148, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-22', 21227, 200, 12233, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-22', 29032, 200, 27823, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-22', 28659, 200, 19268, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-23', 16148, 200, 13332, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-23', 11980, 200, 27640, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-23', 22304, 200, 27940, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-23', 27499, 200, 20653, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-23', 21224, 200, 19874, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-23', 14642, 200, 26104, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-24', 27512, 200, 17393, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-24', 25638, 200, 13633, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-24', 16394, 200, 16236, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-24', 18582, 200, 24645, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-24', 28934, 200, 23081, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-24', 11376, 200, 21609, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-25', 13586, 200, 27127, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-25', 29648, 200, 15195, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-25', 25676, 200, 16576, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-25', 29053, 200, 14973, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-25', 23063, 200, 24507, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-25', 20465, 200, 15710, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-26', 19277, 200, 13417, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-26', 24108, 200, 28823, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-26', 20856, 200, 10882, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-26', 14467, 200, 22990, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-26', 11997, 200, 14539, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-26', 29530, 200, 12950, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-27', 24443, 200, 26642, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-27', 13297, 200, 23968, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-27', 24722, 200, 20082, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-27', 22117, 200, 29154, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-27', 27228, 200, 19610, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-27', 17303, 200, 25890, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-28', 15935, 200, 18005, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-28', 24390, 200, 15985, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-28', 17849, 200, 20686, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-28', 15615, 200, 24603, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-28', 22798, 200, 26291, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-28', 16586, 200, 27539, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-29', 23441, 200, 11081, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-29', 15995, 200, 14395, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-29', 16941, 200, 20025, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-29', 19550, 200, 18714, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-29', 10863, 200, 23987, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-29', 17075, 200, 13402, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-30', 17050, 200, 12314, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-30', 24585, 200, 13694, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-30', 14706, 200, 10843, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-30', 18914, 200, 27678, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-30', 15196, 200, 19871, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-30', 18595, 200, 26319, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-31', 17454, 200, 19026, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-31', 24146, 200, 27054, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-31', 15953, 200, 26145, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-31', 28401, 200, 19617, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-31', 16291, 200, 15321, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-31', 21346, 200, 28360, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-01', 19950, 200, 25820, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-01', 22036, 200, 26643, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-01', 14134, 200, 23178, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-01', 24116, 200, 16581, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-01', 16336, 200, 15533, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-01', 27005, 200, 21739, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-02', 20837, 200, 20064, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-02', 13423, 200, 28120, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-02', 27674, 200, 28864, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-02', 25656, 200, 22632, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-02', 26846, 200, 16301, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-02', 14890, 200, 14640, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-03', 21288, 200, 16719, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-03', 20929, 200, 23393, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-03', 18205, 200, 12761, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-03', 15358, 200, 17883, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-03', 24568, 200, 26328, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-03', 25344, 200, 18719, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-04', 19311, 200, 27851, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-04', 24190, 200, 15479, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-04', 10861, 200, 28532, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-04', 27456, 200, 17685, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-04', 17110, 200, 20321, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-04', 22214, 200, 16757, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-05', 16936, 200, 26056, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-05', 23830, 200, 21218, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-05', 11209, 200, 16965, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-05', 23224, 200, 22170, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-05', 21178, 200, 18255, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-05', 25285, 200, 14348, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-06', 15243, 200, 23944, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-06', 12222, 200, 27630, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-06', 22281, 200, 23183, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-06', 14024, 200, 19346, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-06', 15824, 200, 13219, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-06', 13328, 200, 23913, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-07', 22183, 200, 10349, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-07', 14640, 200, 24361, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-07', 28784, 200, 26627, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-07', 22150, 200, 20200, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-07', 12171, 200, 10281, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-07', 28137, 200, 28230, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-08', 24191, 200, 12304, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-08', 23053, 200, 12007, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-08', 14888, 200, 18139, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-08', 19183, 200, 23814, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-08', 12706, 200, 12103, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-08', 10819, 200, 23212, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-09', 26149, 200, 15130, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-09', 12183, 200, 19528, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-09', 20971, 200, 25869, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-09', 29824, 200, 17708, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-09', 15492, 200, 25398, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-09', 19571, 200, 12274, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-10', 29907, 200, 23398, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-10', 20335, 200, 23646, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-10', 29764, 200, 24969, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-10', 20130, 200, 27807, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-10', 16482, 200, 18369, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-10', 26643, 200, 26535, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-11', 13429, 200, 14192, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-11', 27012, 200, 20162, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-11', 11403, 200, 25856, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-11', 29949, 200, 16488, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-11', 20061, 200, 24985, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-11', 12174, 200, 24874, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-12', 15055, 200, 12539, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-12', 23486, 200, 20683, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-12', 27628, 200, 12839, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-12', 22098, 200, 26678, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-12', 27841, 200, 17870, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-12', 17097, 200, 11280, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-13', 12186, 200, 18733, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-13', 22111, 200, 10504, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-13', 14159, 200, 24925, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-13', 20907, 200, 11542, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-13', 23227, 200, 26841, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-13', 27127, 200, 13349, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-14', 29468, 200, 18201, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-14', 17817, 200, 22595, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-14', 18898, 200, 27726, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-14', 10860, 200, 26386, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-14', 25762, 200, 21619, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-14', 28478, 200, 13601, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-15', 29183, 200, 11115, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-15', 27717, 200, 21970, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-15', 21402, 200, 12564, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-15', 29489, 200, 27705, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-15', 19992, 200, 13235, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-15', 13441, 200, 13425, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-16', 19485, 200, 15706, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-16', 12967, 200, 29794, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-16', 17799, 200, 26209, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-16', 22639, 200, 20242, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-16', 28488, 200, 15511, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-16', 15591, 200, 20735, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-17', 24826, 200, 13887, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-17', 27779, 200, 18894, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-17', 24087, 200, 26485, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-17', 13189, 200, 22612, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-17', 23974, 200, 24800, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-17', 10375, 200, 24877, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-18', 16396, 200, 22587, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-18', 24143, 200, 11473, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-18', 24123, 200, 20661, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-18', 26333, 200, 17344, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-18', 19767, 200, 27025, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-02-18', 21264, 200, 12034, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-02-19', 15930, 200, 23948, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-02-19', 14666, 200, 12977, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-02-19', 17878, 200, 18172, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-02-19', 14912, 200, 24443, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-02-19', 11806, 200, 22664, 400, '2023-08-28 15:56:37'),
