INSERT INTO `lucky_cooperation`.`t_actuality_cup_total_day` (`year`, `record_date`, `wh_dept_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
('2023', '2023-07-30', '-1', 10, 1.149174291177022, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '-1', 10, 16.162899454972766, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '-1', 10, 7.153783702503345, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '-1', 10, 13.988958443871379, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '-1', 10, 8.540429150347427, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '-1', 10, 3.227933061636934, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '-1', 10, 13.164781432571615, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '-1', 10, 3.3167285537942126, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '-1', 10, 15.525149487865926, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '-1', 10, 2.4221669558146597, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '-1', 10, 5.865933418883773, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '-1', 10, 16.1050703814268, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '-1', 10, 12.860747876620058, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '-1', 10, 16.086267945929794, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '-1', 10, 17.780688275683104, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '327193', 20, 7.553863504967239, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '327193', 20, 15.010817756236861, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '327193', 20, 2.441622413831064, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '327193', 20, 15.033318756997199, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '327193', 20, 13.41534735868722, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '327193', 20, 19.713812047717198, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '327193', 20, 2.147970286110894, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '327193', 20, 6.391310318812238, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '327193', 20, 7.967403082923948, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '327193', 20, 5.1390423181976175, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '327193', 20, 9.696713359612364, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '327193', 20, 9.94380625192132, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '327193', 20, 4.304105014233137, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '327193', 20, 10.62486832472593, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '327193', 20, 2.4193845069160536, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '327193', 20, 1.3935001525460877, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '327193', 20, 5.3536421099232605, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '327193', 20, 6.230503162108971, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '327193', 20, 5.68254423351418, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '327193', 20, 17.570929215412058, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '327193', 20, 4.101753530874095, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '245971', 20, 3.6368076685614947, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '245971', 20, 6.128275180474478, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '245971', 20, 12.54979342118933, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '245971', 20, 16.264964806600563, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '245971', 20, 16.485886248647653, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '245971', 20, 15.83033396324973, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '245971', 20, 0.22271094318376816, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '245971', 20, 6.780301201640415, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '245971', 20, 17.042995109612146, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '245971', 20, 0.668615918765918, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '245971', 20, 3.9545638254506166, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '245971', 20, 15.257081711175926, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '245971', 20, 17.62037911892387, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '245971', 20, 2.693618796473347, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '245971', 20, 1.1441363269278204, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '245971', 20, 14.878105213863527, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '245971', 20, 0.5868583336798294, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '245971', 20, 6.119958705723816, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '245971', 20, 14.204983296012369, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '245971', 20, 12.905370306921021, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '245971', 20, 12.821975041270212, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '245871', 20, 5.981021662549546, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '245871', 20, 19.771642146645107, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '245871', 20, 1.2998153537118617, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '245871', 20, 1.9754796086883908, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '245871', 20, 8.272926855805542, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '245871', 20, 2.1626095738250894, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '245871', 20, 12.140074693114522, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '245871', 20, 2.4208664009520797, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '245871', 20, 19.437363480566866, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '245871', 20, 16.783224868693907, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '245871', 20, 18.722048176428604, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '245871', 20, 13.636120844714505, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '245871', 20, 13.812950498267744, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '245871', 20, 5.507652793711348, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '245871', 20, 11.594496316049499, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '245871', 20, 17.709356562541057, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '245871', 20, 14.557163704562427, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '245871', 20, 10.161623197098699, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '245871', 20, 1.26164653512709, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '245871', 20, 2.9676083972735023, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '245871', 20, 10.59303773098054, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '326932', 20, 14.597992097055101, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '326932', 20, 5.506016302365476, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '326932', 20, 10.682762800466064, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '326932', 20, 16.753947948589982, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '326932', 20, 13.168939586946442, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '326932', 20, 19.18859763124333, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '326932', 20, 9.865395046523135, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '326932', 20, 17.45040637695322, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '326932', 20, 3.2486811549633243, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '326932', 20, 18.808351047418338, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '326932', 20, 19.993056761224185, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '326932', 20, 0.27057934021271324, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '326932', 20, 7.023775661417398, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '326932', 20, 16.785381214209934, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '326932', 20, 18.679513909850222, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '326932', 20, 12.725483962720725, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '326932', 20, 10.887658892217614, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '326932', 20, 8.747724015042573, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '326932', 20, 6.917712947795698, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '326932', 20, 6.727593862701379, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '326932', 20, 14.93019700849143, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '326327', 20, 12.232081097957046, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '326327', 20, 16.980416560383166, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '326327', 20, 1.7900655307151525, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '326327', 20, 13.655708139448159, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '326327', 20, 11.63494823284837, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '326327', 20, 4.876354752730032, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '326327', 20, 8.811185255053111, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '326327', 20, 15.471067450193981, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '326327', 20, 6.862003425348955, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '326327', 20, 5.447356565680057, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '326327', 20, 17.258873965405648, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '326327', 20, 6.74031197101346, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '326327', 20, 16.721045257989598, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '326327', 20, 17.05368328171398, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '326327', 20, 18.92971945863161, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '326327', 20, 19.917027363338956, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '326327', 20, 14.204832300097404, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '326327', 20, 14.494137900175357, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '326327', 20, 0.10675266520053572, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '326327', 20, 11.31450750090487, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '326327', 20, 12.063772760555874, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '-1', 20, 16.82780383826654, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '-1', 20, 4.344309503595936, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '-1', 20, 16.473926898947195, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '-1', 20, 8.893570094773644, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '-1', 20, 16.62937334381863, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '-1', 20, 16.94923249834619, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '-1', 20, 6.3761804583839705, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '-1', 20, 4.589008845239901, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '-1', 20, 5.7222155169009215, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '-1', 20, 13.122125430812678, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '-1', 20, 3.2184016694826, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '-1', 20, 7.444003088304127, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '-1', 20, 14.482311505565718, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '-1', 20, 5.794083043176634, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '-1', 20, 1.0304044842894378, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '-1', 20, 7.915649576158841, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '-1', 20, 9.840053440281768, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '-1', 20, 17.97038363172363, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '-1', 20, 4.184961767503932, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '-1', 20, 0.6599642901978209, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '-1', 20, 8.907065201553884, 1, '2023-06-01', 1, '2023-06-01'),
