INSERT INTO `lucky_cooperation`.`t_bi_warehouse_commodity_sale_shop_day` (`wh_dept_id`, `commodity_id`, `mark_type`, `type`, `year`, `record_date`, `amount`, `create_time`) VALUES 
(245871, 6192, 1, 30, 2022, '2022-01-01', 31.2, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, '2022-01-01', 19.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, '2022-01-01', 20.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, '2022-01-01', 39.2, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, '2022-01-01', 10.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, '2022-01-01', 20.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, '2022-01-01', 30.2, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, '2022-01-01', 19.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, '2022-01-01', 18.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, '2022-01-01', 37.2, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, '2022-01-01', 16.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, '2022-01-01', 15.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, '2022-01-01', 31.2, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, '2022-01-01', 10.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, '2022-01-01', 11.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, '2022-01-01', 21.2, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, '2022-01-01', 14.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, '2022-01-01', 17.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, '2022-01-01', 31.2, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, '2022-01-01', 14.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, '2022-01-01', 18.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, '2022-01-01', 32.2, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, '2022-01-01', 11.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, '2022-01-01', 19.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, '2022-01-01', 30.2, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, '2022-01-01', 13.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, '2022-01-01', 20.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, '2022-01-01', 33.2, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, '2022-01-01', 12.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, '2022-01-01', 17.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, '2022-01-01', 29.2, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, '2022-01-02', 14.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, '2022-01-02', 14.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, '2022-01-02', 28.2, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, '2022-01-02', 10.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, '2022-01-02', 13.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, '2022-01-02', 23.2, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, '2022-01-02', 10.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, '2022-01-02', 12.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, '2022-01-02', 22.2, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, '2022-01-02', 18.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, '2022-01-02', 14.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, '2022-01-02', 32.2, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, '2022-01-02', 17.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, '2022-01-02', 10.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, '2022-01-02', 27.2, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, '2022-01-02', 13.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, '2022-01-02', 14.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, '2022-01-02', 27.2, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, '2022-01-02', 12.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, '2022-01-02', 11.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, '2022-01-02', 23.2, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, '2022-01-02', 19.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, '2022-01-02', 12.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, '2022-01-02', 31.2, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, '2022-01-02', 12.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, '2022-01-02', 14.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, '2022-01-02', 26.2, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, '2022-01-02', 16.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, '2022-01-02', 10.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, '2022-01-02', 26.2, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, '2022-01-02', 16.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, '2022-01-02', 11.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, '2022-01-02', 27.2, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, '2022-01-02', 18.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, '2022-01-02', 17.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, '2022-01-02', 35.2, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, '2022-01-02', 11.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, '2022-01-02', 19.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, '2022-01-02', 30.2, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, '2022-01-02', 11.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, '2022-01-02', 19.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, '2022-01-02', 30.2, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, '2022-01-02', 20.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, '2022-01-02', 15.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, '2022-01-02', 35.2, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, '2022-01-02', 17.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, '2022-01-02', 12.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, '2022-01-02', 29.2, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, '2022-01-02', 17.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, '2022-01-02', 14.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, '2022-01-02', 31.2, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, '2022-01-02', 13.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, '2022-01-02', 18.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, '2022-01-02', 31.2, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, '2022-01-03', 15.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, '2022-01-03', 18.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, '2022-01-03', 33.2, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, '2022-01-03', 13.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, '2022-01-03', 11.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, '2022-01-03', 24.2, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, '2022-01-03', 20.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, '2022-01-03', 18.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, '2022-01-03', 38.2, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, '2022-01-03', 17.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, '2022-01-03', 16.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, '2022-01-03', 33.2, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, '2022-01-03', 19.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, '2022-01-03', 15.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, '2022-01-03', 34.2, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, '2022-01-03', 19.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, '2022-01-03', 13.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, '2022-01-03', 32.2, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, '2022-01-03', 18.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, '2022-01-03', 19.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, '2022-01-03', 37.2, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, '2022-01-03', 12.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, '2022-01-03', 18.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, '2022-01-03', 30.2, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, '2022-01-03', 11.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, '2022-01-03', 18.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, '2022-01-03', 29.2, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, '2022-01-03', 13.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, '2022-01-03', 16.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, '2022-01-03', 29.2, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, '2022-01-03', 12.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, '2022-01-03', 10.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, '2022-01-03', 22.2, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, '2022-01-03', 12.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, '2022-01-03', 18.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, '2022-01-03', 30.2, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, '2022-01-03', 19.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, '2022-01-03', 20.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, '2022-01-03', 39.2, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, '2022-01-03', 14.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, '2022-01-03', 12.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, '2022-01-03', 26.2, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, '2022-01-03', 15.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, '2022-01-03', 12.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, '2022-01-03', 27.2, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, '2022-01-03', 10.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, '2022-01-03', 13.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, '2022-01-03', 23.2, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, '2022-01-03', 15.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, '2022-01-03', 14.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, '2022-01-03', 29.2, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, '2022-01-03', 16.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, '2022-01-03', 13.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, '2022-01-03', 29.2, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, '2022-01-04', 14.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, '2022-01-04', 17.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, '2022-01-04', 31.2, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, '2022-01-04', 12.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, '2022-01-04', 12.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, '2022-01-04', 24.2, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, '2022-01-04', 13.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, '2022-01-04', 13.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, '2022-01-04', 26.2, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, '2022-01-04', 16.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, '2022-01-04', 20.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, '2022-01-04', 36.2, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, '2022-01-04', 14.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, '2022-01-04', 19.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, '2022-01-04', 33.2, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, '2022-01-04', 18.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, '2022-01-04', 14.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, '2022-01-04', 32.2, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, '2022-01-04', 10.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, '2022-01-04', 20.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, '2022-01-04', 30.2, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, '2022-01-04', 14.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, '2022-01-04', 13.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, '2022-01-04', 27.2, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, '2022-01-04', 10.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, '2022-01-04', 16.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, '2022-01-04', 26.2, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, '2022-01-04', 14.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, '2022-01-04', 13.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, '2022-01-04', 27.2, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, '2022-01-04', 10.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, '2022-01-04', 18.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, '2022-01-04', 28.2, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, '2022-01-04', 15.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, '2022-01-04', 15.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, '2022-01-04', 30.2, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, '2022-01-04', 17.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, '2022-01-04', 10.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, '2022-01-04', 27.2, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, '2022-01-04', 13.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, '2022-01-04', 20.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, '2022-01-04', 33.2, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, '2022-01-04', 19.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, '2022-01-04', 16.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, '2022-01-04', 35.2, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, '2022-01-04', 14.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, '2022-01-04', 20.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, '2022-01-04', 34.2, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, '2022-01-04', 13.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, '2022-01-04', 19.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, '2022-01-04', 32.2, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, '2022-01-04', 16.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, '2022-01-04', 11.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, '2022-01-04', 27.2, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, '2022-01-05', 20.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, '2022-01-05', 14.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, '2022-01-05', 34.2, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, '2022-01-05', 13.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, '2022-01-05', 13.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, '2022-01-05', 26.2, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, '2022-01-05', 10.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, '2022-01-05', 17.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, '2022-01-05', 27.2, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, '2022-01-05', 16.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, '2022-01-05', 13.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, '2022-01-05', 29.2, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, '2022-01-05', 15.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, '2022-01-05', 14.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, '2022-01-05', 29.2, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, '2022-01-05', 14.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, '2022-01-05', 16.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, '2022-01-05', 30.2, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, '2022-01-05', 16.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, '2022-01-05', 19.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, '2022-01-05', 35.2, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, '2022-01-05', 18.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, '2022-01-05', 16.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, '2022-01-05', 34.2, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, '2022-01-05', 11.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, '2022-01-05', 12.1, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, '2022-01-05', 23.2, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, '2022-01-05', 15.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, '2022-01-05', 19.1, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, '2022-01-05', 34.2, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, '2022-01-05', 19.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, '2022-01-05', 16.1, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, '2022-01-05', 35.2, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, '2022-01-05', 12.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, '2022-01-05', 15.1, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, '2022-01-05', 27.2, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, '2022-01-05', 17.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, '2022-01-05', 16.1, '2023-06-01 00:00:00'),
(326327, 5990, 1, 30, 2022, '2022-01-05', 33.2, '2023-06-01 00:00:00'),
(326327, 6192, 1, 10, 2022, '2022-01-05', 13.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 20, 2022, '2022-01-05', 19.1, '2023-06-01 00:00:00'),
(326327, 6192, 1, 30, 2022, '2022-01-05', 32.2, '2023-06-01 00:00:00'),
(326327, 5352, 2, 10, 2022, '2022-01-05', 13.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 20, 2022, '2022-01-05', 17.1, '2023-06-01 00:00:00'),
(326327, 5352, 2, 30, 2022, '2022-01-05', 30.2, '2023-06-01 00:00:00'),
(-1, 5990, 1, 10, 2022, '2022-01-05', 20.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 20, 2022, '2022-01-05', 13.1, '2023-06-01 00:00:00'),
(-1, 5990, 1, 30, 2022, '2022-01-05', 33.2, '2023-06-01 00:00:00'),
(-1, 6192, 1, 10, 2022, '2022-01-05', 10.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 20, 2022, '2022-01-05', 15.1, '2023-06-01 00:00:00'),
(-1, 6192, 1, 30, 2022, '2022-01-05', 25.2, '2023-06-01 00:00:00'),
(-1, 5352, 2, 10, 2022, '2022-01-05', 19.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 20, 2022, '2022-01-05', 16.1, '2023-06-01 00:00:00'),
(-1, 5352, 2, 30, 2022, '2022-01-05', 35.2, '2023-06-01 00:00:00'),
(327193, 5990, 1, 10, 2022, '2022-01-06', 19.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, '2022-01-06', 15.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, '2022-01-06', 34.2, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, '2022-01-06', 16.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, '2022-01-06', 11.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, '2022-01-06', 27.2, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, '2022-01-06', 12.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, '2022-01-06', 14.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, '2022-01-06', 26.2, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, '2022-01-06', 16.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, '2022-01-06', 17.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, '2022-01-06', 33.2, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, '2022-01-06', 14.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, '2022-01-06', 18.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, '2022-01-06', 32.2, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, '2022-01-06', 15.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, '2022-01-06', 12.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, '2022-01-06', 27.2, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, '2022-01-06', 17.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, '2022-01-06', 16.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, '2022-01-06', 33.2, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, '2022-01-06', 10.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, '2022-01-06', 15.1, '2023-06-01 00:00:00'),
