INSERT INTO `lucky_cooperation`.`t_bi_warehouse_shop_detail` (`record_date`, `wh_dept_id`, `self_num`, `agent_num`, `total_num`, `self_operating_num`, `agent_operating_num`, `total_operating_num`, `operating_rate`, `create_time`) VALUES
('2023-07-06', -1, 176, 133, 309, 274, 131, 405, 0.9, '2023-06-01'),
('2023-07-07', 327193, 251, 94, 345, 293, 140, 433, 0.9, '2023-06-01'),
('2023-07-07', 245971, 107, 96, 203, 155, 118, 273, 0.9, '2023-06-01'),
('2023-07-07', 245871, 244, 53, 297, 272, 255, 527, 0.9, '2023-06-01'),
('2023-07-07', 326932, 93, 34, 127, 204, 173, 377, 0.9, '2023-06-01'),
('2023-07-07', 326327, 216, 63, 279, 213, 187, 400, 0.9, '2023-06-01'),
('2023-07-07', -1, 277, 222, 499, 70, 11, 81, 0.9, '2023-06-01'),
('2023-07-08', 327193, 157, 49, 206, 87, 18, 105, 0.9, '2023-06-01'),
('2023-07-08', 245971, 130, 31, 161, 286, 87, 373, 0.9, '2023-06-01'),
('2023-07-08', 245871, 283, 20, 303, 178, 153, 331, 0.9, '2023-06-01'),
('2023-07-08', 326932, 247, 203, 450, 289, 155, 444, 0.9, '2023-06-01'),
('2023-07-08', 326327, 115, 29, 144, 165, 53, 218, 0.9, '2023-06-01'),
('2023-07-08', -1, 159, 82, 241, 238, 181, 419, 0.9, '2023-06-01'),
('2023-07-09', 327193, 279, 79, 358, 77, 21, 98, 0.9, '2023-06-01'),
('2023-07-09', 245971, 86, 57, 143, 75, 59, 134, 0.9, '2023-06-01'),
('2023-07-09', 245871, 179, 33, 212, 295, 88, 383, 0.9, '2023-06-01'),
('2023-07-09', 326932, 71, 32, 103, 177, 92, 269, 0.9, '2023-06-01'),
('2023-07-09', 326327, 274, 133, 407, 160, 81, 241, 0.9, '2023-06-01'),
('2023-07-09', -1, 217, 74, 291, 73, 28, 101, 0.9, '2023-06-01'),
('2023-07-10', 327193, 106, 46, 152, 95, 39, 134, 0.9, '2023-06-01'),
('2023-07-10', 245971, 274, 205, 479, 272, 230, 502, 0.9, '2023-06-01'),
('2023-07-10', 245871, 138, 48, 186, 244, 104, 348, 0.9, '2023-06-01'),
('2023-07-10', 326932, 224, 53, 277, 200, 143, 343, 0.9, '2023-06-01'),
('2023-07-10', 326327, 75, 42, 117, 199, 145, 344, 0.9, '2023-06-01'),
('2023-07-10', -1, 156, 128, 284, 263, 68, 331, 0.9, '2023-06-01'),
('2023-07-11', 327193, 180, 178, 358, 123, 30, 153, 0.9, '2023-06-01'),
('2023-07-11', 245971, 223, 77, 300, 177, 141, 318, 0.9, '2023-06-01'),
('2023-07-11', 245871, 270, 185, 455, 57, 20, 77, 0.9, '2023-06-01'),
('2023-07-11', 326932, 96, 58, 154, 155, 19, 174, 0.9, '2023-06-01'),
('2023-07-11', 326327, 191, 79, 270, 66, 38, 104, 0.9, '2023-06-01'),
('2023-07-11', -1, 268, 18, 286, 104, 82, 186, 0.9, '2023-06-01'),
('2023-07-12', 327193, 260, 197, 457, 188, 156, 344, 0.9, '2023-06-01'),
('2023-07-12', 245971, 213, 82, 295, 214, 209, 423, 0.9, '2023-06-01'),
('2023-07-12', 245871, 75, 32, 107, 257, 155, 412, 0.9, '2023-06-01'),
('2023-07-12', 326932, 61, 41, 102, 283, 240, 523, 0.9, '2023-06-01'),
('2023-07-12', 326327, 190, 109, 299, 142, 139, 281, 0.9, '2023-06-01'),
('2023-07-12', -1, 131, 108, 239, 231, 226, 457, 0.9, '2023-06-01'),
('2023-07-13', 327193, 272, 88, 360, 270, 92, 362, 0.9, '2023-06-01'),
('2023-07-13', 245971, 220, 36, 256, 84, 33, 117, 0.9, '2023-06-01'),
('2023-07-13', 245871, 162, 72, 234, 144, 95, 239, 0.9, '2023-06-01'),
('2023-07-13', 326932, 92, 39, 131, 86, 49, 135, 0.9, '2023-06-01'),
('2023-07-13', 326327, 105, 81, 186, 108, 76, 184, 0.9, '2023-06-01'),
('2023-07-13', -1, 139, 79, 218, 159, 125, 284, 0.9, '2023-06-01'),
('2023-07-14', 327193, 55, 15, 70, 267, 64, 331, 0.9, '2023-06-01'),
('2023-07-14', 245971, 179, 18, 197, 91, 42, 133, 0.9, '2023-06-01'),
('2023-07-14', 245871, 117, 89, 206, 136, 132, 268, 0.9, '2023-06-01'),
('2023-07-14', 326932, 62, 57, 119, 220, 155, 375, 0.9, '2023-06-01'),
('2023-07-14', 326327, 261, 10, 271, 106, 82, 188, 0.9, '2023-06-01'),
('2023-07-14', -1, 94, 24, 118, 287, 150, 437, 0.9, '2023-06-01'),
('2023-07-15', 327193, 137, 90, 227, 287, 192, 479, 0.9, '2023-06-01'),
('2023-07-15', 245971, 186, 99, 285, 229, 154, 383, 0.9, '2023-06-01'),
('2023-07-15', 245871, 262, 67, 329, 142, 54, 196, 0.9, '2023-06-01'),
('2023-07-15', 326932, 69, 62, 131, 255, 190, 445, 0.9, '2023-06-01'),
('2023-07-15', 326327, 160, 159, 319, 87, 71, 158, 0.9, '2023-06-01'),
('2023-07-15', -1, 220, 134, 354, 229, 181, 410, 0.9, '2023-06-01'),
('2023-07-16', 327193, 92, 37, 129, 266, 259, 525, 0.9, '2023-06-01'),
('2023-07-16', 245971, 149, 100, 249, 196, 170, 366, 0.9, '2023-06-01'),
('2023-07-16', 245871, 195, 140, 335, 122, 15, 137, 0.9, '2023-06-01'),
('2023-07-16', 326932, 271, 66, 337, 50, 42, 92, 0.9, '2023-06-01'),
('2023-07-16', 326327, 220, 208, 428, 55, 34, 89, 0.9, '2023-06-01'),
('2023-07-16', -1, 149, 83, 232, 293, 111, 404, 0.9, '2023-06-01'),
('2023-07-17', 327193, 193, 122, 315, 66, 43, 109, 0.9, '2023-06-01'),
('2023-07-17', 245971, 267, 43, 310, 196, 45, 241, 0.9, '2023-06-01'),
('2023-07-17', 245871, 256, 41, 297, 279, 194, 473, 0.9, '2023-06-01'),
('2023-07-17', 326932, 175, 132, 307, 258, 195, 453, 0.9, '2023-06-01'),
('2023-07-17', 326327, 208, 72, 280, 280, 189, 469, 0.9, '2023-06-01'),
('2023-07-17', -1, 102, 60, 162, 103, 96, 199, 0.9, '2023-06-01'),
('2023-07-18', 327193, 60, 54, 114, 287, 35, 322, 0.9, '2023-06-01'),
('2023-07-18', 245971, 68, 49, 117, 108, 107, 215, 0.9, '2023-06-01'),
('2023-07-18', 245871, 168, 134, 302, 239, 82, 321, 0.9, '2023-06-01'),
('2023-07-18', 326932, 61, 61, 122, 201, 128, 329, 0.9, '2023-06-01'),
('2023-07-18', 326327, 188, 177, 365, 221, 174, 395, 0.9, '2023-06-01'),
('2023-07-18', -1, 79, 68, 147, 265, 155, 420, 0.9, '2023-06-01'),
('2023-07-19', 327193, 84, 36, 120, 76, 65, 141, 0.9, '2023-06-01'),
('2023-07-19', 245971, 298, 94, 392, 161, 151, 312, 0.9, '2023-06-01'),
('2023-07-19', 245871, 184, 49, 233, 267, 182, 449, 0.9, '2023-06-01'),
('2023-07-19', 326932, 222, 125, 347, 189, 179, 368, 0.9, '2023-06-01'),
('2023-07-19', 326327, 190, 63, 253, 192, 101, 293, 0.9, '2023-06-01'),
('2023-07-19', -1, 75, 29, 104, 297, 157, 454, 0.9, '2023-06-01'),
('2023-07-20', 327193, 84, 84, 168, 165, 82, 247, 0.9, '2023-06-01'),
('2023-07-20', 245971, 93, 31, 124, 260, 176, 436, 0.9, '2023-06-01'),
('2023-07-20', 245871, 56, 23, 79, 79, 39, 118, 0.9, '2023-06-01'),
('2023-07-20', 326932, 253, 140, 393, 115, 79, 194, 0.9, '2023-06-01'),
('2023-07-20', 326327, 177, 23, 200, 279, 119, 398, 0.9, '2023-06-01'),
('2023-07-20', -1, 227, 28, 255, 89, 68, 157, 0.9, '2023-06-01'),
('2023-07-21', 327193, 63, 22, 85, 190, 79, 269, 0.9, '2023-06-01'),
('2023-07-21', 245971, 189, 183, 372, 213, 157, 370, 0.9, '2023-06-01'),
('2023-07-21', 245871, 184, 75, 259, 195, 87, 282, 0.9, '2023-06-01'),
('2023-07-21', 326932, 195, 192, 387, 231, 208, 439, 0.9, '2023-06-01'),
('2023-07-21', 326327, 120, 29, 149, 208, 131, 339, 0.9, '2023-06-01'),
('2023-07-21', -1, 104, 10, 114, 198, 76, 274, 0.9, '2023-06-01'),
('2023-07-22', 327193, 63, 30, 93, 254, 42, 296, 0.9, '2023-06-01'),
('2023-07-22', 245971, 123, 37, 160, 300, 55, 355, 0.9, '2023-06-01'),
('2023-07-22', 245871, 244, 218, 462, 67, 65, 132, 0.9, '2023-06-01'),
('2023-07-22', 326932, 50, 11, 61, 202, 68, 270, 0.9, '2023-06-01'),
('2023-07-22', 326327, 164, 24, 188, 171, 127, 298, 0.9, '2023-06-01'),
('2023-07-22', -1, 109, 46, 155, 274, 18, 292, 0.9, '2023-06-01'),
('2023-07-23', 327193, 245, 139, 384, 107, 90, 197, 0.9, '2023-06-01'),
('2023-07-23', 245971, 63, 61, 124, 187, 161, 348, 0.9, '2023-06-01'),
('2023-07-23', 245871, 204, 20, 224, 235, 13, 248, 0.9, '2023-06-01'),
('2023-07-23', 326932, 55, 25, 80, 165, 140, 305, 0.9, '2023-06-01'),
('2023-07-23', 326327, 172, 154, 326, 64, 60, 124, 0.9, '2023-06-01'),
('2023-07-23', -1, 297, 221, 518, 300, 73, 373, 0.9, '2023-06-01'),
('2023-07-24', 327193, 108, 93, 201, 200, 95, 295, 0.9, '2023-06-01'),
('2023-07-24', 245971, 87, 51, 138, 69, 49, 118, 0.9, '2023-06-01'),
('2023-07-24', 245871, 109, 40, 149, 175, 104, 279, 0.9, '2023-06-01'),
('2023-07-24', 326932, 130, 90, 220, 129, 64, 193, 0.9, '2023-06-01'),
('2023-07-24', 326327, 116, 34, 150, 133, 10, 143, 0.9, '2023-06-01'),
('2023-07-24', -1, 139, 34, 173, 216, 52, 268, 0.9, '2023-06-01'),
('2023-07-25', 327193, 144, 94, 238, 213, 199, 412, 0.9, '2023-06-01'),
('2023-07-25', 245971, 158, 37, 195, 292, 43, 335, 0.9, '2023-06-01'),
('2023-07-25', 245871, 197, 19, 216, 57, 23, 80, 0.9, '2023-06-01'),
('2023-07-25', 326932, 235, 62, 297, 169, 108, 277, 0.9, '2023-06-01'),
('2023-07-25', 326327, 129, 19, 148, 274, 164, 438, 0.9, '2023-06-01'),
('2023-07-25', -1, 136, 117, 253, 74, 35, 109, 0.9, '2023-06-01'),
('2023-07-26', 327193, 80, 54, 134, 92, 65, 157, 0.9, '2023-06-01'),
('2023-07-26', 245971, 96, 76, 172, 227, 216, 443, 0.9, '2023-06-01'),
('2023-07-26', 245871, 192, 118, 310, 128, 32, 160, 0.9, '2023-06-01'),
('2023-07-26', 326932, 215, 177, 392, 63, 59, 122, 0.9, '2023-06-01'),
('2023-07-26', 326327, 180, 143, 323, 234, 199, 433, 0.9, '2023-06-01'),
('2023-07-26', -1, 64, 29, 93, 89, 21, 110, 0.9, '2023-06-01'),
('2023-07-27', 327193, 170, 85, 255, 288, 210, 498, 0.9, '2023-06-01'),
('2023-07-27', 245971, 118, 55, 173, 114, 37, 151, 0.9, '2023-06-01'),
('2023-07-27', 245871, 204, 162, 366, 162, 152, 314, 0.9, '2023-06-01'),
('2023-07-27', 326932, 153, 45, 198, 134, 27, 161, 0.9, '2023-06-01'),
('2023-07-27', 326327, 127, 12, 139, 126, 26, 152, 0.9, '2023-06-01'),
('2023-07-27', -1, 119, 50, 169, 122, 61, 183, 0.9, '2023-06-01'),
('2023-07-28', 327193, 98, 77, 175, 164, 30, 194, 0.9, '2023-06-01'),
('2023-07-28', 245971, 53, 22, 75, 161, 106, 267, 0.9, '2023-06-01'),
('2023-07-28', 245871, 88, 33, 121, 272, 54, 326, 0.9, '2023-06-01'),
('2023-07-28', 326932, 273, 199, 472, 135, 43, 178, 0.9, '2023-06-01'),
('2023-07-28', 326327, 172, 93, 265, 70, 11, 81, 0.9, '2023-06-01'),
('2023-07-28', -1, 280, 23, 303, 75, 30, 105, 0.9, '2023-06-01'),
('2023-07-29', 327193, 118, 71, 189, 94, 63, 157, 0.9, '2023-06-01'),
('2023-07-29', 245971, 210, 22, 232, 276, 234, 510, 0.9, '2023-06-01'),
('2023-07-29', 245871, 215, 117, 332, 273, 163, 436, 0.9, '2023-06-01'),
('2023-07-29', 326932, 294, 266, 560, 167, 63, 230, 0.9, '2023-06-01'),
('2023-07-29', 326327, 115, 41, 156, 292, 265, 557, 0.9, '2023-06-01'),
('2023-07-29', -1, 171, 13, 184, 254, 70, 324, 0.9, '2023-06-01'),
('2023-07-30', 327193, 201, 143, 344, 177, 129, 306, 0.9, '2023-06-01'),
('2023-07-30', 245971, 201, 70, 271, 286, 140, 426, 0.9, '2023-06-01'),
('2023-07-30', 245871, 122, 97, 219, 128, 112, 240, 0.9, '2023-06-01'),
('2023-07-30', 326932, 53, 36, 89, 283, 92, 375, 0.9, '2023-06-01'),
('2023-07-30', 326327, 252, 182, 434, 174, 122, 296, 0.9, '2023-06-01'),
('2023-07-30', -1, 273, 269, 542, 116, 92, 208, 0.9, '2023-06-01'),
('2023-07-31', 327193, 175, 39, 214, 249, 222, 471, 0.9, '2023-06-01'),
('2023-07-31', 245971, 255, 216, 471, 124, 116, 240, 0.9, '2023-06-01'),
('2023-07-31', 245871, 167, 49, 216, 272, 13, 285, 0.9, '2023-06-01'),
('2023-07-31', 326932, 129, 103, 232, 81, 15, 96, 0.9, '2023-06-01'),
('2023-07-31', 326327, 155, 42, 197, 130, 93, 223, 0.9, '2023-06-01'),
('2023-07-31', -1, 103, 71, 174, 232, 42, 274, 0.9, '2023-06-01'),
('2023-08-01', 327193, 299, 66, 365, 126, 63, 189, 0.9, '2023-06-01'),
('2023-08-01', 245971, 184, 13, 197, 153, 127, 280, 0.9, '2023-06-01'),
('2023-08-01', 245871, 192, 18, 210, 93, 44, 137, 0.9, '2023-06-01'),
('2023-08-01', 326932, 257, 118, 375, 222, 14, 236, 0.9, '2023-06-01'),
('2023-08-01', 326327, 170, 25, 195, 167, 132, 299, 0.9, '2023-06-01'),
('2023-08-01', -1, 262, 97, 359, 99, 15, 114, 0.9, '2023-06-01'),
('2023-08-02', 327193, 207, 140, 347, 111, 28, 139, 0.9, '2023-06-01'),
('2023-08-02', 245971, 157, 97, 254, 77, 41, 118, 0.9, '2023-06-01'),
('2023-08-02', 245871, 166, 71, 237, 211, 142, 353, 0.9, '2023-06-01'),
('2023-08-02', 326932, 98, 72, 170, 265, 83, 348, 0.9, '2023-06-01'),
('2023-08-02', 326327, 83, 76, 159, 161, 156, 317, 0.9, '2023-06-01'),
('2023-08-02', -1, 55, 19, 74, 125, 58, 183, 0.9, '2023-06-01'),
('2023-08-03', 327193, 159, 70, 229, 292, 27, 319, 0.9, '2023-06-01'),
('2023-08-03', 245971, 270, 69, 339, 185, 40, 225, 0.9, '2023-06-01'),
('2023-08-03', 245871, 236, 177, 413, 159, 87, 246, 0.9, '2023-06-01'),
('2023-08-03', 326932, 106, 43, 149, 266, 199, 465, 0.9, '2023-06-01'),
('2023-08-03', 326327, 89, 34, 123, 286, 248, 534, 0.9, '2023-06-01'),
('2023-08-03', -1, 289, 31, 320, 65, 14, 79, 0.9, '2023-06-01'),
('2023-08-04', 327193, 197, 81, 278, 164, 157, 321, 0.9, '2023-06-01'),
('2023-08-04', 245971, 269, 119, 388, 251, 162, 413, 0.9, '2023-06-01'),
('2023-08-04', 245871, 164, 17, 181, 263, 51, 314, 0.9, '2023-06-01'),
('2023-08-04', 326932, 80, 52, 132, 269, 166, 435, 0.9, '2023-06-01'),
('2023-08-04', 326327, 188, 146, 334, 121, 74, 195, 0.9, '2023-06-01'),
('2023-08-04', -1, 170, 144, 314, 300, 185, 485, 0.9, '2023-06-01'),
('2023-08-05', 327193, 129, 52, 181, 190, 111, 301, 0.9, '2023-06-01'),
('2023-08-05', 245971, 97, 30, 127, 135, 78, 213, 0.9, '2023-06-01'),
('2023-08-05', 245871, 253, 33, 286, 120, 40, 160, 0.9, '2023-06-01'),
('2023-08-05', 326932, 114, 111, 225, 291, 46, 337, 0.9, '2023-06-01'),
('2023-08-05', 326327, 85, 56, 141, 89, 28, 117, 0.9, '2023-06-01'),
('2023-08-05', -1, 111, 65, 176, 128, 122, 250, 0.9, '2023-06-01'),
('2023-08-06', 327193, 206, 82, 288, 115, 64, 179, 0.9, '2023-06-01'),
('2023-08-06', 245971, 65, 63, 128, 268, 102, 370, 0.9, '2023-06-01'),
('2023-08-06', 245871, 110, 83, 193, 163, 106, 269, 0.9, '2023-06-01'),
('2023-08-06', 326932, 85, 24, 109, 266, 47, 313, 0.9, '2023-06-01'),
('2023-08-06', 326327, 77, 46, 123, 136, 100, 236, 0.9, '2023-06-01'),
('2023-08-06', -1, 95, 14, 109, 148, 62, 210, 0.9, '2023-06-01'),
('2023-08-07', 327193, 74, 63, 137, 215, 130, 345, 0.9, '2023-06-01'),
('2023-08-07', 245971, 197, 86, 283, 117, 29, 146, 0.9, '2023-06-01'),
('2023-08-07', 245871, 284, 163, 447, 139, 82, 221, 0.9, '2023-06-01'),
('2023-08-07', 326932, 222, 165, 387, 83, 42, 125, 0.9, '2023-06-01'),
('2023-08-07', 326327, 206, 47, 253, 109, 79, 188, 0.9, '2023-06-01'),
('2023-08-07', -1, 298, 260, 558, 223, 16, 239, 0.9, '2023-06-01'),
('2023-08-08', 327193, 285, 231, 516, 275, 110, 385, 0.9, '2023-06-01'),
('2023-08-08', 245971, 134, 65, 199, 175, 74, 249, 0.9, '2023-06-01'),
('2023-08-08', 245871, 105, 63, 168, 245, 153, 398, 0.9, '2023-06-01'),
('2023-08-08', 326932, 167, 18, 185, 160, 130, 290, 0.9, '2023-06-01'),
('2023-08-08', 326327, 72, 29, 101, 161, 35, 196, 0.9, '2023-06-01'),
('2023-08-08', -1, 87, 24, 111, 72, 47, 119, 0.9, '2023-06-01'),
('2023-08-09', 327193, 58, 33, 91, 165, 100, 265, 0.9, '2023-06-01'),
('2023-08-09', 245971, 123, 99, 222, 263, 73, 336, 0.9, '2023-06-01'),
('2023-08-09', 245871, 64, 62, 126, 267, 108, 375, 0.9, '2023-06-01'),
('2023-08-09', 326932, 173, 57, 230, 116, 64, 180, 0.9, '2023-06-01'),
('2023-08-09', 326327, 180, 119, 299, 247, 81, 328, 0.9, '2023-06-01'),
('2023-08-09', -1, 114, 34, 148, 256, 205, 461, 0.9, '2023-06-01'),
('2023-08-10', 327193, 113, 46, 159, 233, 40, 273, 0.9, '2023-06-01'),
('2023-08-10', 245971, 271, 232, 503, 231, 125, 356, 0.9, '2023-06-01'),
('2023-08-10', 245871, 269, 261, 530, 279, 72, 351, 0.9, '2023-06-01'),
('2023-08-10', 326932, 126, 53, 179, 141, 116, 257, 0.9, '2023-06-01'),
('2023-08-10', 326327, 155, 151, 306, 126, 106, 232, 0.9, '2023-06-01'),
('2023-08-10', -1, 175, 77, 252, 273, 28, 301, 0.9, '2023-06-01'),
('2023-08-11', 327193, 86, 41, 127, 185, 58, 243, 0.9, '2023-06-01'),
('2023-08-11', 245971, 100, 76, 176, 220, 170, 390, 0.9, '2023-06-01'),
('2023-08-11', 245871, 184, 164, 348, 254, 78, 332, 0.9, '2023-06-01'),
('2023-08-11', 326932, 109, 95, 204, 270, 142, 412, 0.9, '2023-06-01'),
('2023-08-11', 326327, 275, 109, 384, 142, 64, 206, 0.9, '2023-06-01'),
('2023-08-11', -1, 239, 183, 422, 261, 106, 367, 0.9, '2023-06-01'),
('2023-08-12', 327193, 156, 116, 272, 239, 210, 449, 0.9, '2023-06-01'),
('2023-08-12', 245971, 91, 42, 133, 198, 129, 327, 0.9, '2023-06-01'),
('2023-08-12', 245871, 85, 19, 104, 181, 48, 229, 0.9, '2023-06-01'),
('2023-08-12', 326932, 94, 73, 167, 71, 16, 87, 0.9, '2023-06-01'),
('2023-08-12', 326327, 300, 190, 490, 160, 124, 284, 0.9, '2023-06-01'),
('2023-08-12', -1, 117, 58, 175, 246, 82, 328, 0.9, '2023-06-01'),
('2023-08-13', 327193, 178, 148, 326, 89, 87, 176, 0.9, '2023-06-01'),
('2023-08-13', 245971, 242, 152, 394, 51, 47, 98, 0.9, '2023-06-01'),
('2023-08-13', 245871, 255, 163, 418, 171, 118, 289, 0.9, '2023-06-01'),
('2023-08-13', 326932, 287, 27, 314, 225, 145, 370, 0.9, '2023-06-01'),
('2023-08-13', 326327, 267, 127, 394, 147, 16, 163, 0.9, '2023-06-01'),
('2023-08-13', -1, 112, 29, 141, 156, 57, 213, 0.9, '2023-06-01'),
('2023-08-14', 327193, 170, 134, 304, 248, 133, 381, 0.9, '2023-06-01'),
('2023-08-14', 245971, 55, 46, 101, 85, 53, 138, 0.9, '2023-06-01'),
('2023-08-14', 245871, 142, 102, 244, 264, 60, 324, 0.9, '2023-06-01'),
('2023-08-14', 326932, 177, 124, 301, 127, 36, 163, 0.9, '2023-06-01'),
('2023-08-14', 326327, 281, 194, 475, 217, 119, 336, 0.9, '2023-06-01'),
('2023-08-14', -1, 88, 28, 116, 95, 73, 168, 0.9, '2023-06-01'),
('2023-08-15', 327193, 240, 73, 313, 174, 53, 227, 0.9, '2023-06-01'),
('2023-08-15', 245971, 50, 37, 87, 151, 146, 297, 0.9, '2023-06-01'),
('2023-08-15', 245871, 240, 29, 269, 127, 67, 194, 0.9, '2023-06-01'),
('2023-08-15', 326932, 183, 39, 222, 184, 79, 263, 0.9, '2023-06-01'),
('2023-08-15', 326327, 86, 39, 125, 82, 42, 124, 0.9, '2023-06-01'),
('2023-08-15', -1, 206, 30, 236, 62, 24, 86, 0.9, '2023-06-01'),
('2023-08-16', 327193, 258, 188, 446, 65, 23, 88, 0.9, '2023-06-01'),
('2023-08-16', 245971, 51, 41, 92, 243, 195, 438, 0.9, '2023-06-01'),
('2023-08-16', 245871, 134, 67, 201, 229, 223, 452, 0.9, '2023-06-01'),
('2023-08-16', 326932, 197, 102, 299, 197, 119, 316, 0.9, '2023-06-01'),
('2023-08-16', 326327, 283, 207, 490, 54, 35, 89, 0.9, '2023-06-01'),
('2023-08-16', -1, 114, 10, 124, 171, 23, 194, 0.9, '2023-06-01'),
('2023-08-17', 327193, 97, 78, 175, 77, 11, 88, 0.9, '2023-06-01'),
('2023-08-17', 245971, 247, 120, 367, 180, 179, 359, 0.9, '2023-06-01'),
('2023-08-17', 245871, 154, 28, 182, 169, 27, 196, 0.9, '2023-06-01'),
('2023-08-17', 326932, 149, 27, 176, 181, 101, 282, 0.9, '2023-06-01'),
('2023-08-17', 326327, 130, 68, 198, 255, 40, 295, 0.9, '2023-06-01'),
('2023-08-17', -1, 271, 191, 462, 200, 117, 317, 0.9, '2023-06-01'),
('2023-08-18', 327193, 58, 54, 112, 228, 31, 259, 0.9, '2023-06-01'),
('2023-08-18', 245971, 174, 149, 323, 167, 141, 308, 0.9, '2023-06-01'),
('2023-08-18', 245871, 246, 72, 318, 181, 50, 231, 0.9, '2023-06-01'),
('2023-08-18', 326932, 253, 234, 487, 159, 94, 253, 0.9, '2023-06-01'),
('2023-08-18', 326327, 96, 36, 132, 254, 128, 382, 0.9, '2023-06-01'),
('2023-08-18', -1, 144, 22, 166, 89, 39, 128, 0.9, '2023-06-01'),
('2023-08-19', 327193, 91, 44, 135, 77, 40, 117, 0.9, '2023-06-01'),
('2023-08-19', 245971, 68, 22, 90, 264, 49, 313, 0.9, '2023-06-01'),
('2023-08-19', 245871, 202, 159, 361, 56, 11, 67, 0.9, '2023-06-01'),
('2023-08-19', 326932, 89, 12, 101, 152, 74, 226, 0.9, '2023-06-01'),
('2023-08-19', 326327, 267, 177, 444, 123, 37, 160, 0.9, '2023-06-01'),
('2023-08-19', -1, 223, 124, 347, 123, 82, 205, 0.9, '2023-06-01'),
('2023-08-20', 327193, 165, 150, 315, 222, 117, 339, 0.9, '2023-06-01'),
('2023-08-20', 245971, 139, 76, 215, 195, 138, 333, 0.9, '2023-06-01'),
('2023-08-20', 245871, 190, 150, 340, 221, 213, 434, 0.9, '2023-06-01'),
('2023-08-20', 326932, 178, 66, 244, 295, 197, 492, 0.9, '2023-06-01'),
('2023-08-20', 326327, 223, 69, 292, 94, 66, 160, 0.9, '2023-06-01'),
('2023-08-20', -1, 110, 91, 201, 98, 85, 183, 0.9, '2023-06-01'),
('2023-08-21', 327193, 292, 143, 435, 212, 144, 356, 0.9, '2023-06-01'),
