INSERT INTO `lucky_cooperation`.`t_actuality_cup_total_week` (`week_id`, `wh_dept_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
('45', '327193', '10', 11.13157744165699, 1, '2023-06-01', 1, '2023-06-01'),
('46', '327193', '10', 3.256055570495706, 1, '2023-06-01', 1, '2023-06-01'),
('47', '327193', '10', 18.71651776971319, 1, '2023-06-01', 1, '2023-06-01'),
('48', '327193', '10', 3.8605202963363072, 1, '2023-06-01', 1, '2023-06-01'),
('49', '327193', '10', 10.018771553135778, 1, '2023-06-01', 1, '2023-06-01'),
('50', '327193', '10', 8.011945370187776, 1, '2023-06-01', 1, '2023-06-01'),
('51', '327193', '10', 9.466649071343166, 1, '2023-06-01', 1, '2023-06-01'),
('52', '327193', '10', 18.064440384172112, 1, '2023-06-01', 1, '2023-06-01'),
('53', '327193', '10', 3.4046134070433043, 1, '2023-06-01', 1, '2023-06-01'),
('54', '327193', '10', 0.6044515892036095, 1, '2023-06-01', 1, '2023-06-01'),
('55', '327193', '10', 5.5850804379875125, 1, '2023-06-01', 1, '2023-06-01'),
('56', '327193', '10', 4.90071846826935, 1, '2023-06-01', 1, '2023-06-01'),
('57', '327193', '10', 4.203681725509565, 1, '2023-06-01', 1, '2023-06-01'),
('58', '327193', '10', 16.73048294847795, 1, '2023-06-01', 1, '2023-06-01'),
('59', '327193', '10', 2.6020261412709766, 1, '2023-06-01', 1, '2023-06-01'),
('60', '327193', '10', 18.584937994631883, 1, '2023-06-01', 1, '2023-06-01'),
('61', '327193', '10', 0.0007371437134717773, 1, '2023-06-01', 1, '2023-06-01'),
('62', '327193', '10', 13.624065642983085, 1, '2023-06-01', 1, '2023-06-01'),
('63', '327193', '10', 8.280234410171015, 1, '2023-06-01', 1, '2023-06-01'),
('64', '327193', '10', 10.888238055190541, 1, '2023-06-01', 1, '2023-06-01'),
('65', '327193', '10', 14.435410674382318, 1, '2023-06-01', 1, '2023-06-01'),
('66', '327193', '10', 17.430130965624482, 1, '2023-06-01', 1, '2023-06-01'),
('67', '327193', '10', 6.799478534023972, 1, '2023-06-01', 1, '2023-06-01'),
('68', '327193', '10', 0.6292638991154509, 1, '2023-06-01', 1, '2023-06-01'),
('69', '327193', '10', 18.015887994751793, 1, '2023-06-01', 1, '2023-06-01'),
('70', '327193', '10', 4.330561244833966, 1, '2023-06-01', 1, '2023-06-01'),
('71', '327193', '10', 3.0260337644187785, 1, '2023-06-01', 1, '2023-06-01'),
('72', '327193', '10', 2.611887255183527, 1, '2023-06-01', 1, '2023-06-01'),
('73', '327193', '10', 7.7855468816118005, 1, '2023-06-01', 1, '2023-06-01'),
('74', '327193', '10', 16.168333338695923, 1, '2023-06-01', 1, '2023-06-01'),
('75', '327193', '10', 8.525488346368352, 1, '2023-06-01', 1, '2023-06-01'),
('76', '327193', '10', 0.5184287230879314, 1, '2023-06-01', 1, '2023-06-01'),
('77', '327193', '10', 4.107596527471776, 1, '2023-06-01', 1, '2023-06-01'),
('78', '327193', '10', 13.316675298600638, 1, '2023-06-01', 1, '2023-06-01'),
('79', '327193', '10', 17.224714820097937, 1, '2023-06-01', 1, '2023-06-01'),
('80', '327193', '10', 4.152880423869696, 1, '2023-06-01', 1, '2023-06-01'),
('81', '327193', '10', 17.42294918650519, 1, '2023-06-01', 1, '2023-06-01'),
('82', '327193', '10', 10.755406480585153, 1, '2023-06-01', 1, '2023-06-01'),
('83', '327193', '10', 12.746536929803325, 1, '2023-06-01', 1, '2023-06-01'),
('84', '327193', '10', 2.1560878539059125, 1, '2023-06-01', 1, '2023-06-01'),
('85', '327193', '10', 3.050726199792937, 1, '2023-06-01', 1, '2023-06-01'),
('86', '327193', '10', 3.6596037426792427, 1, '2023-06-01', 1, '2023-06-01'),
('87', '327193', '10', 5.471977411589453, 1, '2023-06-01', 1, '2023-06-01'),
('88', '327193', '10', 7.249638422286631, 1, '2023-06-01', 1, '2023-06-01'),
('89', '327193', '10', 5.372240408510855, 1, '2023-06-01', 1, '2023-06-01'),
('90', '327193', '10', 17.79518320770736, 1, '2023-06-01', 1, '2023-06-01'),
('91', '327193', '10', 6.649819979006368, 1, '2023-06-01', 1, '2023-06-01'),
('92', '327193', '10', 16.903768979938462, 1, '2023-06-01', 1, '2023-06-01'),
('93', '327193', '10', 7.338516991834845, 1, '2023-06-01', 1, '2023-06-01'),
('94', '327193', '10', 9.893420593200466, 1, '2023-06-01', 1, '2023-06-01'),
('95', '327193', '10', 14.13069933669155, 1, '2023-06-01', 1, '2023-06-01'),
('96', '327193', '10', 16.594961521968532, 1, '2023-06-01', 1, '2023-06-01'),
('97', '327193', '10', 6.645774990566961, 1, '2023-06-01', 1, '2023-06-01'),
('98', '327193', '10', 7.335540319316549, 1, '2023-06-01', 1, '2023-06-01'),
('2', '245971', '10', 0.32879093181096053, 1, '2023-06-01', 1, '2023-06-01'),
('3', '245971', '10', 0.587148845545522, 1, '2023-06-01', 1, '2023-06-01'),
('4', '245971', '10', 2.274404435988855, 1, '2023-06-01', 1, '2023-06-01'),
('5', '245971', '10', 17.955320057064576, 1, '2023-06-01', 1, '2023-06-01'),
('6', '245971', '10', 15.656475532995117, 1, '2023-06-01', 1, '2023-06-01'),
('7', '245971', '10', 6.557488909902367, 1, '2023-06-01', 1, '2023-06-01'),
('8', '245971', '10', 7.7958693045062795, 1, '2023-06-01', 1, '2023-06-01'),
('9', '245971', '10', 5.202918929208606, 1, '2023-06-01', 1, '2023-06-01'),
('10', '245971', '10', 4.957434143132704, 1, '2023-06-01', 1, '2023-06-01'),
('11', '245971', '10', 4.289418560582674, 1, '2023-06-01', 1, '2023-06-01'),
('12', '245971', '10', 16.261469002989642, 1, '2023-06-01', 1, '2023-06-01'),
('13', '245971', '10', 10.888742376768526, 1, '2023-06-01', 1, '2023-06-01'),
('14', '245971', '10', 9.900073879070696, 1, '2023-06-01', 1, '2023-06-01'),
('15', '245971', '10', 19.530784336251216, 1, '2023-06-01', 1, '2023-06-01'),
('16', '245971', '10', 15.946307119038547, 1, '2023-06-01', 1, '2023-06-01'),
('17', '245971', '10', 6.04932991039322, 1, '2023-06-01', 1, '2023-06-01'),
('18', '245971', '10', 2.8221479121079818, 1, '2023-06-01', 1, '2023-06-01'),
('19', '245971', '10', 7.007651201189546, 1, '2023-06-01', 1, '2023-06-01'),
('20', '245971', '10', 13.310303695014646, 1, '2023-06-01', 1, '2023-06-01'),
('21', '245971', '10', 8.53818829801372, 1, '2023-06-01', 1, '2023-06-01'),
('22', '245971', '10', 15.469691698870925, 1, '2023-06-01', 1, '2023-06-01'),
('23', '245971', '10', 1.0916374320723055, 1, '2023-06-01', 1, '2023-06-01'),
('24', '245971', '10', 2.7607606462271583, 1, '2023-06-01', 1, '2023-06-01'),
('25', '245971', '10', 19.54088244063394, 1, '2023-06-01', 1, '2023-06-01'),
('26', '245971', '10', 9.889976289838918, 1, '2023-06-01', 1, '2023-06-01'),
('27', '245971', '10', 8.520055176160517, 1, '2023-06-01', 1, '2023-06-01'),
('28', '245971', '10', 11.298164410888454, 1, '2023-06-01', 1, '2023-06-01'),
('29', '245971', '10', 7.019734967967761, 1, '2023-06-01', 1, '2023-06-01'),
('30', '245971', '10', 8.465800795790612, 1, '2023-06-01', 1, '2023-06-01'),
('31', '245971', '10', 11.142944802966978, 1, '2023-06-01', 1, '2023-06-01'),
('32', '245971', '10', 12.530023406987516, 1, '2023-06-01', 1, '2023-06-01'),
('33', '245971', '10', 15.120820396606348, 1, '2023-06-01', 1, '2023-06-01'),
('34', '245971', '10', 4.726362375363131, 1, '2023-06-01', 1, '2023-06-01'),
('35', '245971', '10', 15.446737639510653, 1, '2023-06-01', 1, '2023-06-01'),
('36', '245971', '10', 12.789000147575958, 1, '2023-06-01', 1, '2023-06-01'),
('37', '245971', '10', 15.676881174095442, 1, '2023-06-01', 1, '2023-06-01'),
('38', '245971', '10', 15.192210591407553, 1, '2023-06-01', 1, '2023-06-01'),
('39', '245971', '10', 4.300401134558792, 1, '2023-06-01', 1, '2023-06-01'),
('40', '245971', '10', 12.604294962929313, 1, '2023-06-01', 1, '2023-06-01'),
('41', '245971', '10', 4.238144206113805, 1, '2023-06-01', 1, '2023-06-01'),
('42', '245971', '10', 19.408464567024637, 1, '2023-06-01', 1, '2023-06-01'),
('43', '245971', '10', 12.442560390470874, 1, '2023-06-01', 1, '2023-06-01'),
('44', '245971', '10', 9.278754388283213, 1, '2023-06-01', 1, '2023-06-01'),
('45', '245971', '10', 7.07430671712876, 1, '2023-06-01', 1, '2023-06-01'),
('46', '245971', '10', 7.214401862939265, 1, '2023-06-01', 1, '2023-06-01'),
('47', '245971', '10', 7.303449471178567, 1, '2023-06-01', 1, '2023-06-01'),
('48', '245971', '10', 19.40545594511626, 1, '2023-06-01', 1, '2023-06-01'),
('49', '245971', '10', 8.715560788952157, 1, '2023-06-01', 1, '2023-06-01'),
('50', '245971', '10', 8.485210991021273, 1, '2023-06-01', 1, '2023-06-01'),
('51', '245971', '10', 9.302808186232262, 1, '2023-06-01', 1, '2023-06-01'),
('52', '245971', '10', 5.157456949699282, 1, '2023-06-01', 1, '2023-06-01'),
('53', '245971', '10', 15.8398626798137, 1, '2023-06-01', 1, '2023-06-01'),
('54', '245971', '10', 14.915450442228654, 1, '2023-06-01', 1, '2023-06-01'),
('55', '245971', '10', 14.792478105700793, 1, '2023-06-01', 1, '2023-06-01'),
('56', '245971', '10', 8.890008723567632, 1, '2023-06-01', 1, '2023-06-01'),
('57', '245971', '10', 10.600612580735643, 1, '2023-06-01', 1, '2023-06-01'),
('58', '245971', '10', 9.979650170379895, 1, '2023-06-01', 1, '2023-06-01'),
('59', '245971', '10', 7.411020830479624, 1, '2023-06-01', 1, '2023-06-01'),
('60', '245971', '10', 17.464360155811164, 1, '2023-06-01', 1, '2023-06-01'),
('61', '245971', '10', 8.746480587601841, 1, '2023-06-01', 1, '2023-06-01'),
('62', '245971', '10', 5.897408252677312, 1, '2023-06-01', 1, '2023-06-01'),
('63', '245971', '10', 1.7963548725198741, 1, '2023-06-01', 1, '2023-06-01'),
('64', '245971', '10', 9.270780424401952, 1, '2023-06-01', 1, '2023-06-01'),
('65', '245971', '10', 7.067399405859057, 1, '2023-06-01', 1, '2023-06-01'),
('66', '245971', '10', 9.764382491121973, 1, '2023-06-01', 1, '2023-06-01'),
('67', '245971', '10', 12.670905143419981, 1, '2023-06-01', 1, '2023-06-01'),
('68', '245971', '10', 6.95722073964836, 1, '2023-06-01', 1, '2023-06-01'),
('69', '245971', '10', 15.277365995306656, 1, '2023-06-01', 1, '2023-06-01'),
('70', '245971', '10', 0.6292884590389369, 1, '2023-06-01', 1, '2023-06-01'),
('71', '245971', '10', 15.05817597883458, 1, '2023-06-01', 1, '2023-06-01'),
('72', '245971', '10', 12.49652956313868, 1, '2023-06-01', 1, '2023-06-01'),
('73', '245971', '10', 0.2640697878144649, 1, '2023-06-01', 1, '2023-06-01'),
('74', '245971', '10', 4.56669170995839, 1, '2023-06-01', 1, '2023-06-01'),
('75', '245971', '10', 13.574957424715922, 1, '2023-06-01', 1, '2023-06-01'),
('76', '245971', '10', 11.51749888775811, 1, '2023-06-01', 1, '2023-06-01'),
('77', '245971', '10', 8.023966124329696, 1, '2023-06-01', 1, '2023-06-01'),
('78', '245971', '10', 6.94648894460919, 1, '2023-06-01', 1, '2023-06-01'),
('79', '245971', '10', 5.563630350311037, 1, '2023-06-01', 1, '2023-06-01'),
('80', '245971', '10', 9.487421720435485, 1, '2023-06-01', 1, '2023-06-01'),
('81', '245971', '10', 14.731542134352617, 1, '2023-06-01', 1, '2023-06-01'),
('82', '245971', '10', 18.460138689044456, 1, '2023-06-01', 1, '2023-06-01'),
('83', '245971', '10', 8.32330685100377, 1, '2023-06-01', 1, '2023-06-01'),
('84', '245971', '10', 12.17880895567163, 1, '2023-06-01', 1, '2023-06-01'),
('85', '245971', '10', 8.88777488589212, 1, '2023-06-01', 1, '2023-06-01'),
('86', '245971', '10', 16.339960319432105, 1, '2023-06-01', 1, '2023-06-01'),
('87', '245971', '10', 9.8187417451919, 1, '2023-06-01', 1, '2023-06-01'),
('88', '245971', '10', 18.124698786581078, 1, '2023-06-01', 1, '2023-06-01'),
('89', '245971', '10', 9.428099191778038, 1, '2023-06-01', 1, '2023-06-01'),
('90', '245971', '10', 9.0801653250095, 1, '2023-06-01', 1, '2023-06-01'),
('91', '245971', '10', 17.682205078129364, 1, '2023-06-01', 1, '2023-06-01'),
('92', '245971', '10', 17.218947371479018, 1, '2023-06-01', 1, '2023-06-01'),
('93', '245971', '10', 17.155671791799275, 1, '2023-06-01', 1, '2023-06-01'),
('94', '245971', '10', 6.791806551421269, 1, '2023-06-01', 1, '2023-06-01'),
('95', '245971', '10', 14.57417862412149, 1, '2023-06-01', 1, '2023-06-01'),
('96', '245971', '10', 3.9379859094233782, 1, '2023-06-01', 1, '2023-06-01'),
('97', '245971', '10', 13.400225757916115, 1, '2023-06-01', 1, '2023-06-01'),
('98', '245971', '10', 11.580357436423608, 1, '2023-06-01', 1, '2023-06-01'),
('2', '245871', '10', 4.3473153562573845, 1, '2023-06-01', 1, '2023-06-01'),
('3', '245871', '10', 16.07821473390402, 1, '2023-06-01', 1, '2023-06-01'),
('4', '245871', '10', 6.467924086589852, 1, '2023-06-01', 1, '2023-06-01'),
('5', '245871', '10', 9.603390896660944, 1, '2023-06-01', 1, '2023-06-01'),
('6', '245871', '10', 15.617724411727094, 1, '2023-06-01', 1, '2023-06-01'),
('7', '245871', '10', 18.613194360642705, 1, '2023-06-01', 1, '2023-06-01'),
('8', '245871', '10', 8.394874475871138, 1, '2023-06-01', 1, '2023-06-01'),
('9', '245871', '10', 8.592172160632273, 1, '2023-06-01', 1, '2023-06-01'),
('10', '245871', '10', 14.87905064696443, 1, '2023-06-01', 1, '2023-06-01'),
('11', '245871', '10', 2.315212053793827, 1, '2023-06-01', 1, '2023-06-01'),
('12', '245871', '10', 18.13101162830671, 1, '2023-06-01', 1, '2023-06-01'),
('13', '245871', '10', 5.741181167527582, 1, '2023-06-01', 1, '2023-06-01'),
('14', '245871', '10', 4.095855815031715, 1, '2023-06-01', 1, '2023-06-01'),
('15', '245871', '10', 11.67623052882009, 1, '2023-06-01', 1, '2023-06-01'),
('16', '245871', '10', 3.39742958689514, 1, '2023-06-01', 1, '2023-06-01'),
('17', '245871', '10', 9.423709996432839, 1, '2023-06-01', 1, '2023-06-01'),
('18', '245871', '10', 7.0648500153379, 1, '2023-06-01', 1, '2023-06-01'),
('19', '245871', '10', 14.766149666216473, 1, '2023-06-01', 1, '2023-06-01'),
('20', '245871', '10', 18.232020530613273, 1, '2023-06-01', 1, '2023-06-01'),
('21', '245871', '10', 13.257131676009692, 1, '2023-06-01', 1, '2023-06-01'),
('22', '245871', '10', 14.980222679869193, 1, '2023-06-01', 1, '2023-06-01'),
('23', '245871', '10', 17.7556950594387, 1, '2023-06-01', 1, '2023-06-01'),
('24', '245871', '10', 19.54273170340678, 1, '2023-06-01', 1, '2023-06-01'),
('25', '245871', '10', 16.12688587164091, 1, '2023-06-01', 1, '2023-06-01'),
('26', '245871', '10', 14.343300017062852, 1, '2023-06-01', 1, '2023-06-01'),
('27', '245871', '10', 9.706408893125719, 1, '2023-06-01', 1, '2023-06-01'),
('28', '245871', '10', 6.2852723728546, 1, '2023-06-01', 1, '2023-06-01'),
('29', '245871', '10', 9.707849925350022, 1, '2023-06-01', 1, '2023-06-01'),
('30', '245871', '10', 12.7775071682869, 1, '2023-06-01', 1, '2023-06-01'),
('31', '245871', '10', 13.29005103417974, 1, '2023-06-01', 1, '2023-06-01'),
('32', '245871', '10', 0.9273898709942019, 1, '2023-06-01', 1, '2023-06-01'),
('33', '245871', '10', 1.5200904228604073, 1, '2023-06-01', 1, '2023-06-01'),
('34', '245871', '10', 4.3760258412907005, 1, '2023-06-01', 1, '2023-06-01'),
('35', '245871', '10', 2.5780559324018437, 1, '2023-06-01', 1, '2023-06-01'),
('36', '245871', '10', 3.4998990982864964, 1, '2023-06-01', 1, '2023-06-01'),
('37', '245871', '10', 15.257202068659934, 1, '2023-06-01', 1, '2023-06-01'),
('38', '245871', '10', 17.467345304802798, 1, '2023-06-01', 1, '2023-06-01'),
('39', '245871', '10', 19.463319732504466, 1, '2023-06-01', 1, '2023-06-01'),
('40', '245871', '10', 3.348111680140047, 1, '2023-06-01', 1, '2023-06-01'),
('41', '245871', '10', 11.13870686556381, 1, '2023-06-01', 1, '2023-06-01'),
('42', '245871', '10', 18.076204485400105, 1, '2023-06-01', 1, '2023-06-01'),
('43', '245871', '10', 9.9942171506742, 1, '2023-06-01', 1, '2023-06-01'),
('44', '245871', '10', 19.603155091498312, 1, '2023-06-01', 1, '2023-06-01'),
('45', '245871', '10', 15.59590739477998, 1, '2023-06-01', 1, '2023-06-01'),
('46', '245871', '10', 10.897410763017835, 1, '2023-06-01', 1, '2023-06-01'),
('47', '245871', '10', 12.246890193324795, 1, '2023-06-01', 1, '2023-06-01'),
('48', '245871', '10', 15.740812785295091, 1, '2023-06-01', 1, '2023-06-01'),
('49', '245871', '10', 1.1958989314845225, 1, '2023-06-01', 1, '2023-06-01'),
('50', '245871', '10', 14.862466739635433, 1, '2023-06-01', 1, '2023-06-01'),
('51', '245871', '10', 1.0171839490085466, 1, '2023-06-01', 1, '2023-06-01'),
('52', '245871', '10', 2.7416767776023465, 1, '2023-06-01', 1, '2023-06-01'),
('53', '245871', '10', 3.914125057524902, 1, '2023-06-01', 1, '2023-06-01'),
('54', '245871', '10', 3.6541273630208404, 1, '2023-06-01', 1, '2023-06-01'),
('55', '245871', '10', 9.522621437162915, 1, '2023-06-01', 1, '2023-06-01'),
('56', '245871', '10', 0.7394086857209037, 1, '2023-06-01', 1, '2023-06-01'),
('57', '245871', '10', 16.847624783034124, 1, '2023-06-01', 1, '2023-06-01'),
('58', '245871', '10', 11.024843811801077, 1, '2023-06-01', 1, '2023-06-01'),
('59', '245871', '10', 4.679918714051599, 1, '2023-06-01', 1, '2023-06-01'),
('60', '245871', '10', 16.025618860338216, 1, '2023-06-01', 1, '2023-06-01'),
('61', '245871', '10', 10.23756651641001, 1, '2023-06-01', 1, '2023-06-01'),
('62', '245871', '10', 19.126375397417362, 1, '2023-06-01', 1, '2023-06-01'),
('63', '245871', '10', 5.007504648862957, 1, '2023-06-01', 1, '2023-06-01'),
('64', '245871', '10', 1.4894196960016326, 1, '2023-06-01', 1, '2023-06-01'),
('65', '245871', '10', 14.1184224303465, 1, '2023-06-01', 1, '2023-06-01'),
('66', '245871', '10', 12.398568212446104, 1, '2023-06-01', 1, '2023-06-01'),
('67', '245871', '10', 16.184082574769633, 1, '2023-06-01', 1, '2023-06-01'),
('68', '245871', '10', 19.745560006682798, 1, '2023-06-01', 1, '2023-06-01'),
('69', '245871', '10', 12.87724792104652, 1, '2023-06-01', 1, '2023-06-01'),
('70', '245871', '10', 18.319574350302553, 1, '2023-06-01', 1, '2023-06-01'),
('71', '245871', '10', 16.90000959084057, 1, '2023-06-01', 1, '2023-06-01'),
('72', '245871', '10', 17.906023864434108, 1, '2023-06-01', 1, '2023-06-01'),
('73', '245871', '10', 12.708804472160198, 1, '2023-06-01', 1, '2023-06-01'),
('74', '245871', '10', 18.832064993592677, 1, '2023-06-01', 1, '2023-06-01'),
('75', '245871', '10', 9.07739070349961, 1, '2023-06-01', 1, '2023-06-01'),
('76', '245871', '10', 3.969132809282092, 1, '2023-06-01', 1, '2023-06-01'),
('77', '245871', '10', 8.752212623149108, 1, '2023-06-01', 1, '2023-06-01'),
('78', '245871', '10', 11.992355691679935, 1, '2023-06-01', 1, '2023-06-01'),
('79', '245871', '10', 4.181703053862469, 1, '2023-06-01', 1, '2023-06-01'),
('80', '245871', '10', 3.746885074780366, 1, '2023-06-01', 1, '2023-06-01'),
('81', '245871', '10', 16.8881396561289, 1, '2023-06-01', 1, '2023-06-01'),
('82', '245871', '10', 3.3134561889071112, 1, '2023-06-01', 1, '2023-06-01'),
('83', '245871', '10', 5.245792365271511, 1, '2023-06-01', 1, '2023-06-01'),
('84', '245871', '10', 13.302265821184537, 1, '2023-06-01', 1, '2023-06-01'),
('85', '245871', '10', 14.40307968854622, 1, '2023-06-01', 1, '2023-06-01'),
('86', '245871', '10', 6.660853685107644, 1, '2023-06-01', 1, '2023-06-01'),
('87', '245871', '10', 19.55030645004933, 1, '2023-06-01', 1, '2023-06-01'),
('88', '245871', '10', 4.785488938636869, 1, '2023-06-01', 1, '2023-06-01'),
('89', '245871', '10', 3.817497979714033, 1, '2023-06-01', 1, '2023-06-01'),
('90', '245871', '10', 1.0668668924612557, 1, '2023-06-01', 1, '2023-06-01'),
('91', '245871', '10', 12.050349161180776, 1, '2023-06-01', 1, '2023-06-01'),
('92', '245871', '10', 1.7588142299468967, 1, '2023-06-01', 1, '2023-06-01'),
('93', '245871', '10', 14.499320864710992, 1, '2023-06-01', 1, '2023-06-01'),
('94', '245871', '10', 5.511501142802874, 1, '2023-06-01', 1, '2023-06-01'),
('95', '245871', '10', 7.850597404925614, 1, '2023-06-01', 1, '2023-06-01'),
('96', '245871', '10', 19.749338638042392, 1, '2023-06-01', 1, '2023-06-01'),
('97', '245871', '10', 14.276002983667109, 1, '2023-06-01', 1, '2023-06-01'),
('98', '245871', '10', 2.212982086978168, 1, '2023-06-01', 1, '2023-06-01'),
('2', '326932', '10', 1.1940277565420931, 1, '2023-06-01', 1, '2023-06-01'),
('3', '326932', '10', 5.732880480565543, 1, '2023-06-01', 1, '2023-06-01'),
('4', '326932', '10', 12.77897811254039, 1, '2023-06-01', 1, '2023-06-01'),
('5', '326932', '10', 1.475966523139054, 1, '2023-06-01', 1, '2023-06-01'),
('6', '326932', '10', 0.09305487190547579, 1, '2023-06-01', 1, '2023-06-01'),
('7', '326932', '10', 12.456317652108076, 1, '2023-06-01', 1, '2023-06-01'),
('8', '326932', '10', 5.5947748428031225, 1, '2023-06-01', 1, '2023-06-01'),
('9', '326932', '10', 19.27085677886779, 1, '2023-06-01', 1, '2023-06-01'),
('10', '326932', '10', 14.022075069066787, 1, '2023-06-01', 1, '2023-06-01'),
('11', '326932', '10', 15.957839035992336, 1, '2023-06-01', 1, '2023-06-01'),
('12', '326932', '10', 11.198065698746131, 1, '2023-06-01', 1, '2023-06-01'),
('13', '326932', '10', 5.498307126758595, 1, '2023-06-01', 1, '2023-06-01'),
('14', '326932', '10', 15.568878492086624, 1, '2023-06-01', 1, '2023-06-01'),
('15', '326932', '10', 3.067060359176128, 1, '2023-06-01', 1, '2023-06-01'),
('16', '326932', '10', 12.945454150298856, 1, '2023-06-01', 1, '2023-06-01'),
('17', '326932', '10', 13.808919123400136, 1, '2023-06-01', 1, '2023-06-01'),
('18', '326932', '10', 18.883852618237867, 1, '2023-06-01', 1, '2023-06-01'),
('19', '326932', '10', 13.821242616965453, 1, '2023-06-01', 1, '2023-06-01'),
('20', '326932', '10', 12.106661931145082, 1, '2023-06-01', 1, '2023-06-01'),
('21', '326932', '10', 13.393223889486602, 1, '2023-06-01', 1, '2023-06-01'),
('22', '326932', '10', 3.386481922264548, 1, '2023-06-01', 1, '2023-06-01'),
('23', '326932', '10', 7.471063162850156, 1, '2023-06-01', 1, '2023-06-01'),
('24', '326932', '10', 0.9670406073866111, 1, '2023-06-01', 1, '2023-06-01'),
('25', '326932', '10', 17.939512303709833, 1, '2023-06-01', 1, '2023-06-01'),
('26', '326932', '10', 9.614413605040271, 1, '2023-06-01', 1, '2023-06-01'),
('27', '326932', '10', 8.676993505751547, 1, '2023-06-01', 1, '2023-06-01'),
('28', '326932', '10', 16.671579822028725, 1, '2023-06-01', 1, '2023-06-01'),
('29', '326932', '10', 13.087627912988571, 1, '2023-06-01', 1, '2023-06-01'),
('30', '326932', '10', 16.53717742086013, 1, '2023-06-01', 1, '2023-06-01'),
