INSERT INTO `lucky_cooperation`.`t_actuality_cup_goods` (`year`, `goods_id`, `type`, `january_num`, `february_num`, `march_num`, `april_num`, `may_num`, `june_num`, `july_num`, `august_num`, `september_num`, `october_num`, `november_num`, `december_num`, `total_num`, `create_user`, `create_time`, `update_user`, `update_time`, `wh_dept_id`) VALUES 
('2024', 86969, 10, 0.12259156182206543, 0.764330541684059, 0.5939483675726389, 0.23496028638648248, 0.4452775312817947, 0.9272761905417484, 0.8826147478480459, 0.02399207458162933, 0.4249481308761883, 0.9168071473682459, 0.6328821031334263, 0.7680406058387603, 6.737669288935087, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 86969, 20, 8142790.4319204840, 9749660.6780811734, 8618144.3686646319, 9198164.0587699069, 9531714.3283184797, 9700927.7954614947, 9280669.5178931330, 9841872.3506774869, 8773715.0852600812, 8942724.7443767290, 9086280.2597580524, 8419877.0832088002, 109286540.7023904533, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 83207, 10, 0.2842229023953008, 0.035022522621829255, 0.7580253628864273, 0.4481150652987551, 0.31640874107776096, 0.6623824612453078, 0.8020663714677222, 0.44261007672741626, 0.5706081386351941, 0.04376475374643807, 0.5466438423301293, 0.14107145314093827, 5.05094169157322, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 83207, 20, 9215263.3876038373, 8315136.1820166119, 9333406.6470046451, 9372766.8716187952, 8870735.3386475701, 8944764.6974230279, 10323169.8286246459, 10183329.3672041179, 8652482.1007226939, 8136174.7628714410, 9472805.1513410671, 9495684.5736222646, 110315718.9087007179, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 83622, 10, 0.11277988662456662, 0.9513424745421322, 0.7525512884810827, 0.7857036711935949, 0.2314098852556885, 0.07847817207381858, 0.28806680785071703, 0.02645080045891479, 0.8016781391942891, 0.41841757143500746, 0.5216700781641966, 0.8372512644725283, 5.805800039746537, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 83622, 20, 9686872.6815066040, 8744082.0882499617, 8720041.5286717697, 8443897.4634539197, 9954915.6402583691, 8839791.2857981199, 8114474.5938032924, 8893156.3686847772, 9514390.7526226047, 8974678.3916060856, 9848967.5764039890, 8624003.1881739139, 108359271.5592334069, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 83623, 10, 0.025302277774363224, 0.8742569142464733, 0.10731124116295787, 0.22254156223181432, 0.521493901571899, 0.9788885053179424, 0.579309959344241, 0.8276732894384181, 0.9991810654501364, 0.11538409953678308, 0.4620681907530779, 0.8105957048737348, 6.5240067117018405, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 83623, 20, 9622139.9640708098, 9602129.8932749279, 8899713.2897105325, 9521746.0614987013, 8944081.9163976528, 10366230.5000884230, 9370870.1118754630, 9494707.4516003975, 9163518.4673696759, 9477342.1455815084, 8908099.3903087621, 9438990.8755562711, 112809570.0673331253, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 42, 10, 0.12740348470800522, 0.9977047535457612, 0.9803197360837776, 0.9499121105454797, 0.16439124352125112, 0.3954428786517161, 0.6960859010081886, 0.8089119553997992, 0.8202355369607863, 0.060603230478200154, 0.6536513804546211, 0.9150388406963471, 7.569701052053933, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 42, 20, 9396533.4400694091, 8081800.9817652234, 8888246.3295606932, 9297911.5192295893, 9666498.0493646448, 8836124.7883064416, 9577776.2706533190, 8727643.2787461242, 9047149.1690625483, 9600126.7137597060, 8893275.5908661384, 9172009.1941948605, 109185095.3255786978, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 42, 40, 0.964574279572603, 0.9305972923326945, 0.3757684363225694, 0.6752007613514243, 0.49448131347073476, 0.8696361819234747, 0.33939526866883896, 0.20208306258552544, 0.5350220825286083, 0.014082081702573968, 0.2480039901479807, 0.13469431921393327, 5.783539069820961, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 48214, 10, 0.021182838303875018, 0.9881396678358955, 0.12220252831116252, 0.7771824938166609, 0.9343994555569157, 0.39822576137651433, 0.2638423701000724, 0.9739568951553115, 0.9640522876781162, 0.27994033857635237, 0.6878515537140735, 0.8610131429953731, 7.271989333420324, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 48214, 20, 8678061.0563471220, 9201591.9166603092, 9335621.4198208048, 9741059.3408144831, 10586465.9451036189, 8655262.0181983518, 8916254.1919129087, 9188039.3023211642, 9528260.8199665602, 10308599.9104500846, 9987339.8927432803, 9214304.2633371956, 113340860.0776758834, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 48214, 40, 0.9078480074869674, 0.32996994578569006, 0.7980592194478777, 0.3933487159561233, 0.5207166938855484, 0.03388105959150156, 0.13450544808649112, 0.9995426726471125, 0.4070750396047518, 0.7518063250070456, 0.2490181530593324, 0.3807273770886067, 5.906498657647049, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 82796, 10, 0.47244895180316826, 0.23601381945065258, 0.0036197367757152543, 0.058350156126034225, 0.95775845000244, 0.41635661910218213, 0.12290643201318141, 0.31472944430871064, 0.5785146386872894, 0.6239629806264494, 0.5455389997206651, 0.808374388897046, 5.138574617513534, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 82796, 20, 8881860.7556357398, 8449678.3947114704, 9535873.9698959603, 8865500.8406979619, 9151647.0765213658, 9177212.3679808333, 9843108.1987210621, 8135419.0356249082, 7772065.2757288680, 10253441.5726121645, 8932905.0498129929, 9356993.2783623359, 108355705.8163056631, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 82796, 30, 0.9226309502906924, 0.22424307131592502, 0.38539218292548083, 0.6150593310794104, 0.21805844383579698, 0.5251224591676045, 0.1809848813491045, 0.33419021269753935, 0.41048065985941895, 0.3976415358499178, 0.3922470805908709, 0.47043014590708265, 5.076480954868844, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 82796, 40, 0.34369267051919705, 0.8595323916231111, 0.07624721422964487, 0.8900272637343163, 0.9889130601459603, 0.5771581719844544, 0.47794125375389085, 0.9124927879576836, 0.626862165211585, 0.697272793080649, 0.20811069096010926, 0.3492009748720255, 7.007451438072627, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 44, 10, 0.6286657986572506, 0.6787330304913278, 0.5841136573824411, 0.24637270250497056, 0.16342837730604065, 0.9059685618032106, 0.09154981478025115, 0.24647899692960806, 0.9364394736984192, 0.7656158895249493, 0.6090510871541935, 0.8144858664881627, 6.670903256720825, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 44, 20, 8846720.0238829334, 9631268.0871733589, 8834156.0102395059, 9066883.7518724464, 8421658.5337028024, 9996187.0003500575, 9111798.8186889501, 9173402.3126080099, 9684471.9953632658, 9908397.1572891651, 7841039.1070837042, 10160173.1854420429, 110676155.9836962425, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 83070, 10, 0.5395704544796927, 0.753336193553462, 0.1891096906111197, 0.4239266103753947, 0.06947501928541067, 0.9942802233590736, 0.6228226197316628, 0.5524913459531633, 0.7060791227347356, 0.8660029782800116, 0.7261028715437705, 0.5919879461237237, 7.035185076031221, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 83070, 20, 9205801.5462358074, 9829560.5837714492, 11171751.1248956285, 8601369.5681367482, 8136483.5328612948, 9107986.6644574460, 9679494.6395187693, 9238645.9255197041, 8311136.1122379339, 9039512.6730109086, 9837666.1305376689, 8997823.1688914622, 111157231.6700748211, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 86969, 10, 0.1499202743181114, 0.1317567529537872, 0.2781755175410371, 0.8026474374665967, 0.8037886464440072, 0.2744376882941799, 0.06815800680524942, 0.22886346728049956, 0.5771895467959048, 0.3125498283537117, 0.056272833573297154, 0.7978392246293396, 4.481599224455722, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 86969, 20, 8929931.8798586684, 8186379.2327400783, 9037162.2159380696, 9230029.1597827651, 9310575.7491797547, 8768587.4179153784, 8165718.0770169624, 9934985.2377458972, 9122759.9298382215, 9204956.4496104534, 8421328.4977267874, 8965192.5403186411, 107277606.3876716775, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 83207, 10, 0.9236537623530361, 0.01951445515065542, 0.11621151270253416, 0.20877223505731302, 0.2165495471209823, 0.24961124542470958, 0.44637756329470735, 0.5462681608523539, 0.33947461940912727, 0.634189310540599, 0.35214238257841834, 0.04669244591738575, 4.099457240401822, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 83207, 20, 9644931.7261821699, 8380900.4186239429, 9047361.1528782405, 8913150.9859625637, 9413361.6954507866, 8157708.1388337686, 10624065.3233316191, 8875237.8863536367, 8802671.1506348815, 9126021.2556745102, 7872013.9602548778, 9259640.4976329607, 108117064.1918139582, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 83622, 10, 0.5705226736408727, 0.8330374073193119, 0.3259381651249934, 0.7508917103973812, 0.14405752665376492, 0.8181951256672446, 0.19374977199094823, 0.13376515614932116, 0.13224860977341246, 0.5533640671194527, 0.9357720146426816, 0.3627394069699663, 5.754281635449352, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 83622, 20, 8658759.5704873992, 8547519.0748200145, 9105524.0768513484, 10485318.8690385001, 9063896.9386413090, 8564872.6717146110, 9810593.8625833540, 9493711.0103864724, 8727944.7545908563, 9254219.3479458400, 9741986.8367247880, 10307557.7537492858, 111761904.7675337787, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 83623, 10, 0.910981335832461, 0.25116594530403835, 0.41142246861977805, 0.45478995277435497, 0.5416878917583257, 0.7533221760852428, 0.9667640938750579, 0.8759596560112792, 0.18785577413417343, 0.018956222419009516, 0.2828382361132117, 0.6092757810540022, 6.265019533980935, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 83623, 20, 8183089.2715343511, 9632274.4973617450, 8770005.7493351938, 8847248.6025435816, 9018274.3913233321, 7935152.2613782813, 9090916.1070054678, 8249944.1389550704, 7578525.9890495026, 9429560.7008027065, 9009601.5196877674, 9635962.1220545603, 105380555.3510315599, 1, '2023-06-01', 1, '2023-06-01', 245971),
('2024', 42, 10, 0.7184692848909651, 0.38382825666304077, 0.06400524246214567, 0.07582876984294284, 0.5764036193934562, 0.24774569670801938, 0.4409746293869897, 0.4556465099162922, 0.33490517896937233, 0.5628894126685546, 0.20616342196365933, 0.44965273414071216, 4.51651275700615, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 42, 20, 9700019.9874847975, 7743281.8642578686, 9153169.9522286449, 9644411.1873093355, 8848225.5891610080, 9283921.8374505643, 9959678.9864686383, 9322074.0549198871, 7937556.6980453533, 9650818.6907482360, 8718475.8507105226, 8898764.6645706366, 108860399.3633554927, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 42, 40, 0.6415957179170995, 0.7179742234393073, 0.6527110732439806, 0.7655123542695549, 0.3469139775967941, 0.8375266266419285, 0.012228246862829306, 0.8972286589722547, 0.13874590336377723, 0.9062330148601994, 0.8471493510843435, 0.7617901241938336, 7.5256092724459025, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 48214, 10, 0.07244525942139646, 0.8410225453230061, 0.4029589504346549, 0.7985852223029665, 0.29741672518225026, 0.6902808639449634, 0.15268037391013478, 0.20949138853157456, 0.6619286786399384, 0.829295857815261, 0.3802061075844516, 0.28200899471027363, 5.618320967800872, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 48214, 20, 9952275.9330130780, 9986853.6901254968, 9208814.7557203418, 9003470.5420327983, 9726641.4644236731, 8831180.8781462440, 10152849.1404171464, 9487811.9406116370, 8713616.9551307478, 8722294.9348984185, 9464156.0975134342, 10106413.9742132870, 113356380.3062463029, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 48214, 40, 0.8221243670020579, 0.42842203177139326, 0.6659897750322649, 0.38717415773343133, 0.5896292435054356, 0.9770482626107793, 0.20207442349707805, 0.9437663738604966, 0.718426652813024, 0.8785890662761894, 0.37538652608428436, 0.9672178207534265, 7.955848700939861, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 82796, 10, 0.8237811202164674, 0.8128005903203549, 0.39576962186291775, 0.20290086148741815, 0.7451273206688749, 0.7229565560300415, 0.28042106029974767, 0.7797110673514206, 0.9330038296334195, 0.6871223622923913, 0.01336666015225152, 0.44451167587400475, 6.84147272618931, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 82796, 20, 8965483.0762797193, 8053560.1319449472, 10424625.5376218254, 9165623.4136458544, 9391213.3393210356, 8564617.0205417585, 9058230.7700906825, 9563113.3277087910, 9666264.3037263071, 9204506.8425536922, 8961144.0202079772, 9403964.7334162354, 110422346.5170588258, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 82796, 30, 0.5923060968903114, 0.4028908637343105, 0.3152494864971723, 0.2976965577424525, 0.8938098887733793, 0.49618792887156005, 0.37694836104200535, 0.3171484726163728, 0.8288561444228568, 0.9647421526871742, 0.7422922832327561, 0.6790231840142206, 6.907151420524572, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 82796, 40, 0.8028085324532115, 0.343145496089602, 0.04674054885156376, 0.12524617433736618, 0.33192513776905563, 0.8276043379645198, 0.5306412518992902, 0.3775895935612782, 0.48049853929957687, 0.518228995661477, 0.0732458679861322, 0.9027787667459002, 5.360453242618974, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 44, 10, 0.8468097947866892, 0.18791092821938993, 0.5032651012388327, 0.5687521597076047, 0.025925841749763645, 0.6362043637388901, 0.04186266964016949, 0.23375277650665405, 0.3781199256566734, 0.6363116354794462, 0.35758051809654645, 0.10883699609509445, 4.525332710915755, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 44, 20, 8543552.1117896795, 8803033.9212995779, 9091847.4474224335, 8777203.8758220540, 9906608.6898459015, 8733241.0890900750, 9476828.5193766342, 10024564.7478499006, 9447624.3813201699, 10003603.2325110064, 8565091.7976251687, 8952323.9955832784, 110325523.8095358796, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 83070, 10, 0.9780901790262603, 0.48388904629746976, 0.20195058066608085, 0.015110288062620936, 0.7714871535352272, 0.8361616739906287, 0.9798048962778954, 0.5221578393654074, 0.7834647817574212, 0.5117320696211498, 0.8195193764240482, 0.8719191120807102, 7.77528699710492, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 83070, 20, 9299596.2722335961, 9253619.5550978672, 9366589.5789486129, 8758217.8544431496, 8937604.5329314130, 8766166.4636211919, 8346280.0312852689, 8904028.7787861024, 9335137.7737311267, 9560974.5210784674, 8891782.7891014662, 10007162.0306246404, 109427160.1818829027, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 86969, 10, 0.45849210811052443, 0.19918979560532624, 0.3930597567337235, 0.7795335759422464, 0.9866603136767881, 0.8350312181009718, 0.05181290786901738, 0.667773692947163, 0.8236202887209108, 0.9356381135926094, 0.6125580369960744, 0.39227816691348616, 7.135647975208841, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 86969, 20, 9541819.2820448267, 8387695.6376931402, 9332051.1773279381, 8249399.6951767564, 8558622.9921711762, 7807443.4740115929, 9331910.2693792486, 8525577.0314700495, 9983874.0194456035, 9501518.1620068429, 9934291.2593634311, 8847460.2299668226, 108001663.2300574287, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 83207, 10, 0.07305490690754146, 0.9297462583750807, 0.15202931445819212, 0.9018746101063063, 0.35029645232409645, 0.976399860321773, 0.6193293494418998, 0.29932681014362184, 0.08757949437787149, 0.9430144034278464, 0.23704100065220424, 0.046100598685859806, 5.615793059222295, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 83207, 20, 8429707.7679099731, 8012188.3450750659, 8978758.5755583415, 9025079.5015960825, 9261600.2311104108, 8569914.9362421030, 9518968.1859634174, 8885738.6713088094, 9953069.5845412970, 9107969.6502536651, 9380042.0205296517, 9655669.6381179665, 108778707.1082067839, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 83622, 10, 0.4714099876834187, 0.5405593083180593, 0.6902952335386661, 0.2665221083920811, 0.6506957952455045, 0.9955227548674648, 0.2805370971534924, 0.8473651585233196, 0.6544313335363147, 0.11565190501510114, 0.8018014401962108, 0.14524304840495939, 6.460035170874592, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 83622, 20, 9383689.3752209194, 8279736.8269009058, 8872782.5702050940, 8284793.2551374246, 9150493.1635684285, 7961931.1975873914, 9870324.2667558876, 10073696.3088578618, 9022116.2213713415, 10357760.9839914837, 8776273.2449945826, 7681629.5240617111, 107715226.9386530320, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 83623, 10, 0.030234212374184333, 0.14187250926433725, 0.40515895557755655, 0.32285339943512503, 0.45423356414256677, 0.9515118047995423, 0.25784491688243527, 0.5996799510767084, 0.3070182012037457, 0.6341193388886787, 0.06265519916559725, 0.27654207214512694, 4.4437241249556045, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 83623, 20, 9983237.1684311225, 8374306.9218084425, 10080237.1255471870, 8617390.2347704952, 8973311.0716510316, 9864245.4365613898, 9866178.6394117183, 10971607.8906023450, 9050593.7268795155, 11252925.2174654170, 9585940.8895729433, 9313273.0817566019, 115933247.4044582096, 1, '2023-06-01', 1, '2023-06-01', 245871),
('2024', 42, 10, 0.6152744633340943, 0.6973737202219409, 0.9741773922131082, 0.06087613877284914, 0.10741686030838338, 0.9518015528254133, 0.9160496536489389, 0.3900784915502632, 0.18712928651776828, 0.855393983812975, 0.11643127167386336, 0.8931570807549786, 6.765159895634577, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 42, 20, 8962688.3855680194, 8893419.8840791654, 9795973.4848681351, 9401702.0382980923, 9239743.0186302714, 9377418.3602306389, 9816922.6620019071, 8808377.1214422080, 8625670.5772166829, 9817526.5881365293, 9190154.2367544213, 9795468.5768787086, 111725064.9341047797, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 42, 40, 0.046818631138215494, 0.6632504169353134, 0.8000797817424381, 0.06474991622767423, 0.8567735852333447, 0.37963199558578586, 0.9294145681683083, 0.1101443219621312, 0.13054319326711183, 0.023109576036005164, 0.22486875246634486, 0.8332537658648392, 5.062638504627513, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 48214, 10, 0.9177009747030104, 0.9951751811039548, 0.10933534017632474, 0.5412131584684424, 0.5018647207640771, 0.31127312437417065, 0.3320697385179011, 0.5163093992870227, 0.4694908672643332, 0.0033974421959623857, 0.08406531430903108, 0.1821028396535983, 4.96399810081783, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 48214, 20, 8781110.4716711631, 9789792.1680049633, 9176444.2548742264, 8817581.3310344924, 9682388.2104676786, 9216118.8925189451, 9066667.1235304097, 9093430.6492100317, 10084931.9881999580, 8437583.1505255149, 8712539.6586783154, 8722044.9992036132, 109580632.8979193118, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 48214, 40, 0.908061098165973, 0.5724047932722088, 0.9763002142791021, 0.8907253883102891, 0.4091986454420886, 0.26392121018649917, 0.3619877232132209, 0.9931258042189098, 0.4058201764754378, 0.35022574280219554, 0.6035000778919408, 0.9705210497414172, 7.705791923999283, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 82796, 10, 0.6489568197751051, 0.22400343338079742, 0.6291858527691068, 0.6007953454961672, 0.5299059707412637, 0.9306687195175652, 0.7698119494476175, 0.40750735598850607, 0.11727959887121575, 0.10665505548245424, 0.05725277830999553, 0.07760749039324955, 5.099630370173044, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 82796, 20, 9851274.1744856027, 8697773.8232156194, 9695442.9484795111, 8001779.6782671171, 10052333.3016623758, 8068552.1219554985, 9143009.2585300635, 9522709.6782582692, 9563691.8796426435, 9281622.7105018593, 9052601.6570817782, 8399851.9126963186, 109330643.1447766569, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 82796, 30, 0.3158110329168017, 0.9423309036373013, 0.477012691357269, 0.5514703010155053, 0.3790085357418925, 0.40151043466396596, 0.34577059942086774, 0.04113211778871506, 0.20331960445624853, 0.11194539008444615, 0.0422633105159006, 0.15915451933291047, 3.9707294409318243, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 82796, 40, 0.5778342528938933, 0.6709178603630168, 0.389206249407858, 0.5548227846176582, 0.3165030363109683, 0.19811660021062438, 0.5406973810150161, 0.23735130338637322, 0.056080973099089104, 0.35366852419940376, 0.4790068978111043, 0.520359092494807, 4.894564955809813, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 44, 10, 0.252725728575651, 0.8368737102798781, 0.9921529497619255, 0.720866648759957, 0.24800994938917176, 0.0716781442973311, 0.052459011313056525, 0.9017619026370776, 0.4693832818283964, 0.19763231062916642, 0.08557395811930502, 0.5356185023097358, 5.364736097900653, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 44, 20, 9533801.2480898197, 7851314.7639105863, 8128489.9666108191, 9144109.2276507360, 9635232.4876981894, 9485163.0785239524, 9549903.8697324250, 9796159.3805371087, 9397052.7107163352, 9998318.0820710027, 9406157.9965182304, 10020971.1150044583, 111946673.9270636632, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 83070, 10, 0.768146103828654, 0.9186487417014514, 0.39261639383380764, 0.043287824537994735, 0.43125083434611877, 0.23596196648199907, 0.07702198460362908, 0.30299147586647146, 0.903396849802641, 0.8483306469972542, 0.429658161614369, 0.38657650826459655, 5.737887491878987, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 83070, 20, 8807810.5525941460, 8825227.2990130818, 7355152.0367663246, 8613852.1007848203, 10757595.1953903364, 8727580.5568186074, 9395493.4287679008, 8632925.4769360736, 8300182.6669478958, 9516125.1019652364, 9369362.4260093973, 8549704.6569289608, 106851011.4989227812, 1, '2023-06-01', 1, '2023-06-01', 326932),
('2024', 86969, 10, 0.788958664095917, 0.3451562801028998, 0.30352451057766305, 0.553137024597234, 0.6674942204097264, 0.9057308216919497, 0.24168836009552408, 0.6544898155392174, 0.27358166849167653, 0.061829215339040844, 0.6377288413041274, 0.672791146068668, 6.106110568313644, 1, '2023-06-01', 1, '2023-06-01', 326932),
