INSERT INTO `lucky_cooperation`.`t_actuality_cup_commodity_day` (`year`, `record_date`, `wh_dept_id`, `commodity_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
('2023', '2023-07-25', '245871', 5352, 10, 5.845146450970833, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '245871', 5352, 10, 2.9550687590248947, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '245871', 5352, 10, 12.375324062277375, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '245871', 5352, 10, 12.592659779312891, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '245871', 5352, 10, 12.729006065620194, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '245871', 5352, 10, 19.853071821093696, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '245871', 5352, 10, 10.066844239239817, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '245871', 5352, 10, 17.778123196389902, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '245871', 5352, 10, 15.363939432370726, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '245871', 5352, 10, 13.393150633252858, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '245871', 5352, 10, 19.791953288587795, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '245871', 5352, 10, 10.18162562816514, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '245871', 5352, 10, 17.82039408569592, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '245871', 5352, 10, 12.503889047426746, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '245871', 5352, 10, 11.692847713849053, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '245871', 5352, 10, 13.525962793502021, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '245871', 5352, 10, 10.246764445926859, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '245871', 5352, 10, 16.52754440230652, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '245871', 5352, 10, 13.709325957506218, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '245871', 5352, 10, 11.597626813856198, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '326932', 5352, 10, 16.942593367897675, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '326932', 5352, 10, 18.000448063896645, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '326932', 5352, 10, 9.438928783485752, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '326932', 5352, 10, 1.3287271621946295, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '326932', 5352, 10, 10.225066771144677, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '326932', 5352, 10, 10.375981521183068, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '326932', 5352, 10, 18.488165473500327, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '326932', 5352, 10, 12.086579321512854, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '326932', 5352, 10, 0.5366505821152634, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '326932', 5352, 10, 9.483406063404571, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '326932', 5352, 10, 0.544972022801189, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '326932', 5352, 10, 8.351424491616502, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '326932', 5352, 10, 19.40172910304097, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '326932', 5352, 10, 7.197402129280417, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '326932', 5352, 10, 16.5212097943738, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '326932', 5352, 10, 17.098946193523197, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '326932', 5352, 10, 10.280777212303924, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '326932', 5352, 10, 10.787847659525177, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '326932', 5352, 10, 3.1941392522527745, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '326932', 5352, 10, 8.72164106776667, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '326932', 5352, 10, 14.693979378220135, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '326327', 5352, 10, 10.508257792765786, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '326327', 5352, 10, 0.31380045826596703, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '326327', 5352, 10, 0.7819615542955671, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '326327', 5352, 10, 11.459522045399243, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '326327', 5352, 10, 18.90086111225707, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '326327', 5352, 10, 16.208191587707887, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '326327', 5352, 10, 0.06875828440272569, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '326327', 5352, 10, 15.989719442122318, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '326327', 5352, 10, 9.088253115149431, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '326327', 5352, 10, 9.766071189985087, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '326327', 5352, 10, 10.587842709594582, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '326327', 5352, 10, 0.6418589232463079, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '326327', 5352, 10, 8.694420881341191, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '326327', 5352, 10, 1.7415787558292406, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '326327', 5352, 10, 15.660538211550284, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '326327', 5352, 10, 10.508114751695368, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '326327', 5352, 10, 15.193677154825803, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '326327', 5352, 10, 0.16368989223326524, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '326327', 5352, 10, 3.43701960492804, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '326327', 5352, 10, 15.279208168403912, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '326327', 5352, 10, 19.82400153407466, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '-1', 5352, 10, 9.954693492005461, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '-1', 5352, 10, 13.688615077661947, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '-1', 5352, 10, 8.442795553029987, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '-1', 5352, 10, 1.9570297759708954, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '-1', 5352, 10, 1.7002762890232659, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '-1', 5352, 10, 8.085374630008296, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '-1', 5352, 10, 6.933889463336667, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '-1', 5352, 10, 17.55150002560122, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '-1', 5352, 10, 10.196773509507564, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '-1', 5352, 10, 18.868141475158666, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '-1', 5352, 10, 3.7496741141419965, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '-1', 5352, 10, 6.073516179611702, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '-1', 5352, 10, 18.373512211180202, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '-1', 5352, 10, 14.801384142776673, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '-1', 5352, 10, 8.91319503999549, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '-1', 5352, 10, 2.8947339244979653, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '-1', 5352, 10, 12.056378373721108, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '-1', 5352, 10, 18.520738397908154, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '-1', 5352, 10, 10.886126108870648, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '-1', 5352, 10, 16.485355578525528, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '-1', 5352, 10, 19.55452625210516, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '327193', 5990, 10, 19.684800609928047, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '327193', 5990, 10, 3.3194900180209075, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '327193', 5990, 10, 2.190814912171164, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '327193', 5990, 10, 2.696354000493122, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '327193', 5990, 10, 16.952658984833413, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '327193', 5990, 10, 15.20571239382097, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '327193', 5990, 10, 3.4122380466667224, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '327193', 5990, 10, 19.354133811358896, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '327193', 5990, 10, 9.16214785220204, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '327193', 5990, 10, 0.5888475331167986, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '327193', 5990, 10, 9.20199670343244, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '327193', 5990, 10, 6.675193294312485, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '327193', 5990, 10, 16.65881183841154, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '327193', 5990, 10, 18.16015139992272, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '327193', 5990, 10, 9.39938534836216, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '327193', 5990, 10, 14.110890083530583, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '327193', 5990, 10, 1.2687457142858194, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '327193', 5990, 10, 19.25875370930082, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '327193', 5990, 10, 13.542096654803688, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '327193', 5990, 10, 7.15218926639019, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '327193', 5990, 10, 12.808487889398922, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '245971', 5990, 10, 7.37686729791855, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '245971', 5990, 10, 1.0602018322919182, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '245971', 5990, 10, 0.32958010928961556, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '245971', 5990, 10, 17.905996331581946, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '245971', 5990, 10, 16.859642286917214, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '245971', 5990, 10, 5.948930384458341, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '245971', 5990, 10, 2.944565175672551, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '245971', 5990, 10, 19.67126731528836, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '245971', 5990, 10, 8.065133482956043, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '245971', 5990, 10, 2.071123756766746, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '245971', 5990, 10, 8.993372068381971, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '245971', 5990, 10, 3.940968645574432, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '245971', 5990, 10, 7.007535751296549, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '245971', 5990, 10, 5.664778996526152, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '245971', 5990, 10, 5.94840378029208, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '245971', 5990, 10, 10.713603651407219, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '245971', 5990, 10, 5.991201802941908, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '245971', 5990, 10, 13.604860744276312, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '245971', 5990, 10, 6.5345853090874195, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '245971', 5990, 10, 11.838214893500965, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '245971', 5990, 10, 9.18499588814024, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '245871', 5990, 10, 6.095399388064857, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '245871', 5990, 10, 0.8802607688692032, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '245871', 5990, 10, 12.326641593473708, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '245871', 5990, 10, 7.166177503129467, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '245871', 5990, 10, 11.25650708414504, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '245871', 5990, 10, 9.17927782985805, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '245871', 5990, 10, 6.8638534062021055, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '245871', 5990, 10, 0.8640897722963548, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '245871', 5990, 10, 10.634280373883758, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '245871', 5990, 10, 7.263730367164882, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '245871', 5990, 10, 18.895595251818413, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '245871', 5990, 10, 17.32268566803783, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '245871', 5990, 10, 12.013171540475104, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '245871', 5990, 10, 14.211167080142635, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '245871', 5990, 10, 16.08293686471616, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '245871', 5990, 10, 12.44352760922473, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '245871', 5990, 10, 18.454768977064674, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '245871', 5990, 10, 14.029646818568338, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '245871', 5990, 10, 0.5958227058007459, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '245871', 5990, 10, 17.787154730255722, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '245871', 5990, 10, 17.975193358029934, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '326932', 5990, 10, 9.254036800896326, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '326932', 5990, 10, 9.503339135223623, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '326932', 5990, 10, 12.664866592589188, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '326932', 5990, 10, 3.1681241241299274, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '326932', 5990, 10, 15.823763906863075, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '326932', 5990, 10, 11.618852620285535, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '326932', 5990, 10, 15.869375529760921, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '326932', 5990, 10, 3.698139774450284, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '326932', 5990, 10, 14.123509689797382, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '326932', 5990, 10, 13.912213005588645, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '326932', 5990, 10, 10.758713111129266, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '326932', 5990, 10, 10.975478791376261, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '326932', 5990, 10, 5.0917685821378385, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '326932', 5990, 10, 4.813502788264136, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '326932', 5990, 10, 0.6049259558927766, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '326932', 5990, 10, 2.594882904970768, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '326932', 5990, 10, 10.926230823965323, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '326932', 5990, 10, 6.025330028294498, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '326932', 5990, 10, 2.8915667753806584, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '326932', 5990, 10, 12.863068626686925, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '326932', 5990, 10, 4.813563626871094, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '326327', 5990, 10, 16.139223252945968, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '326327', 5990, 10, 13.73924318995677, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '326327', 5990, 10, 14.366280325793818, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '326327', 5990, 10, 19.39872573389785, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '326327', 5990, 10, 18.69926908782206, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '326327', 5990, 10, 4.002021208272904, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '326327', 5990, 10, 10.771552049766871, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '326327', 5990, 10, 3.5117567238895986, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '326327', 5990, 10, 8.663499232055935, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '326327', 5990, 10, 5.492693488786442, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '326327', 5990, 10, 1.9279717123597662, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '326327', 5990, 10, 13.494316841940847, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '326327', 5990, 10, 14.814652957786201, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '326327', 5990, 10, 18.313373517948005, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '326327', 5990, 10, 16.679489120160184, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '326327', 5990, 10, 5.378574659717699, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '326327', 5990, 10, 12.832950631962225, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '326327', 5990, 10, 2.8319290886468163, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '326327', 5990, 10, 8.57037995515334, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '326327', 5990, 10, 4.082078029508001, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '326327', 5990, 10, 19.666402553684307, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '-1', 5990, 10, 12.71595944260354, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '-1', 5990, 10, 14.382563614104262, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '-1', 5990, 10, 11.817074175330813, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '-1', 5990, 10, 17.44293703886408, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '-1', 5990, 10, 5.563471924571617, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '-1', 5990, 10, 14.037545276404671, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '-1', 5990, 10, 6.740232164988322, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '-1', 5990, 10, 16.94177182140782, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '-1', 5990, 10, 4.061626312934208, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '-1', 5990, 10, 2.2987719906530146, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '-1', 5990, 10, 6.208838422215084, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '-1', 5990, 10, 3.700596209455971, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '-1', 5990, 10, 17.720811230335134, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '-1', 5990, 10, 8.91405563747735, 1, '2023-06-01', 1, '2023-06-01'),
