INSERT INTO `lucky_cooperation`.`t_actuality_cup_goods_week` (`week_id`, `wh_dept_id`, `goods_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
(36, 327193, 42, 20, 2312395.0438115692, 1, '2023-06-01', 1, '2023-06-01'),
(37, 327193, 42, 20, 2314829.6525016531, 1, '2023-06-01', 1, '2023-06-01'),
(38, 327193, 42, 20, 2366703.5853928538, 1, '2023-06-01', 1, '2023-06-01'),
(39, 327193, 42, 20, 1445280.5563658666, 1, '2023-06-01', 1, '2023-06-01'),
(40, 327193, 42, 20, 1937458.9030889709, 1, '2023-06-01', 1, '2023-06-01'),
(41, 327193, 42, 20, 1541146.0746422376, 1, '2023-06-01', 1, '2023-06-01'),
(42, 327193, 42, 20, 480514.5763632798, 1, '2023-06-01', 1, '2023-06-01'),
(43, 327193, 42, 20, 920266.8861324861, 1, '2023-06-01', 1, '2023-06-01'),
(44, 327193, 42, 20, 2066143.3467390650, 1, '2023-06-01', 1, '2023-06-01'),
(45, 327193, 42, 20, 2171782.8355690408, 1, '2023-06-01', 1, '2023-06-01'),
(46, 327193, 42, 20, 1168275.6296810519, 1, '2023-06-01', 1, '2023-06-01'),
(47, 327193, 42, 20, 1466588.6345620088, 1, '2023-06-01', 1, '2023-06-01'),
(48, 327193, 42, 20, 543647.4810472121, 1, '2023-06-01', 1, '2023-06-01'),
(49, 327193, 42, 20, 2886182.4491009269, 1, '2023-06-01', 1, '2023-06-01'),
(50, 327193, 42, 20, 2032654.6002469840, 1, '2023-06-01', 1, '2023-06-01'),
(51, 327193, 42, 20, 2685343.0826140393, 1, '2023-06-01', 1, '2023-06-01'),
(52, 327193, 42, 20, 1744251.1821694144, 1, '2023-06-01', 1, '2023-06-01'),
(53, 327193, 42, 20, 315815.5664345302, 1, '2023-06-01', 1, '2023-06-01'),
(54, 327193, 42, 20, 1629198.6422351990, 1, '2023-06-01', 1, '2023-06-01'),
(55, 327193, 42, 20, 2459500.1859914405, 1, '2023-06-01', 1, '2023-06-01'),
(56, 327193, 42, 20, 2393513.9738783414, 1, '2023-06-01', 1, '2023-06-01'),
(57, 327193, 42, 20, 1862306.2016243467, 1, '2023-06-01', 1, '2023-06-01'),
(58, 327193, 42, 20, 946937.5981971370, 1, '2023-06-01', 1, '2023-06-01'),
(59, 327193, 42, 20, 974996.6471074516, 1, '2023-06-01', 1, '2023-06-01'),
(60, 327193, 42, 20, 1726178.8816827654, 1, '2023-06-01', 1, '2023-06-01'),
(61, 327193, 42, 20, 2370025.8340636735, 1, '2023-06-01', 1, '2023-06-01'),
(62, 327193, 42, 20, 1753730.5742071240, 1, '2023-06-01', 1, '2023-06-01'),
(63, 327193, 42, 20, 1438228.6480685301, 1, '2023-06-01', 1, '2023-06-01'),
(64, 327193, 42, 20, 214464.6585266064, 1, '2023-06-01', 1, '2023-06-01'),
(65, 327193, 42, 20, 1763243.6850026551, 1, '2023-06-01', 1, '2023-06-01'),
(66, 327193, 42, 20, 2019937.1378923818, 1, '2023-06-01', 1, '2023-06-01'),
(67, 327193, 42, 20, 1910519.5388939028, 1, '2023-06-01', 1, '2023-06-01'),
(68, 327193, 42, 20, 2103418.6328674407, 1, '2023-06-01', 1, '2023-06-01'),
(69, 327193, 42, 20, 538568.6240193963, 1, '2023-06-01', 1, '2023-06-01'),
(70, 327193, 42, 20, 1387553.2704295310, 1, '2023-06-01', 1, '2023-06-01'),
(71, 327193, 42, 20, 2174676.6709275525, 1, '2023-06-01', 1, '2023-06-01'),
(72, 327193, 42, 20, 2359117.8246902584, 1, '2023-06-01', 1, '2023-06-01'),
(73, 327193, 42, 20, 1903717.1020334236, 1, '2023-06-01', 1, '2023-06-01'),
(74, 327193, 42, 20, 929503.3902653254, 1, '2023-06-01', 1, '2023-06-01'),
(75, 327193, 42, 20, 1795789.1088709715, 1, '2023-06-01', 1, '2023-06-01'),
(76, 327193, 42, 20, 1689230.5169976682, 1, '2023-06-01', 1, '2023-06-01'),
(77, 327193, 42, 20, 2053574.0385170603, 1, '2023-06-01', 1, '2023-06-01'),
(78, 327193, 42, 20, 1411635.1574917220, 1, '2023-06-01', 1, '2023-06-01'),
(79, 327193, 42, 20, 1643385.5019139692, 1, '2023-06-01', 1, '2023-06-01'),
(80, 327193, 42, 20, 758835.6632459159, 1, '2023-06-01', 1, '2023-06-01'),
(81, 327193, 42, 20, 2218970.5474462558, 1, '2023-06-01', 1, '2023-06-01'),
(82, 327193, 42, 20, 2466258.4569888396, 1, '2023-06-01', 1, '2023-06-01'),
(83, 327193, 42, 20, 2122548.6196027447, 1, '2023-06-01', 1, '2023-06-01'),
(84, 327193, 42, 20, 2333627.5337522971, 1, '2023-06-01', 1, '2023-06-01'),
(85, 327193, 42, 20, 2236605.1889220633, 1, '2023-06-01', 1, '2023-06-01'),
(86, 327193, 42, 20, 1941824.0236448954, 1, '2023-06-01', 1, '2023-06-01'),
(87, 327193, 42, 20, 2349026.2963806299, 1, '2023-06-01', 1, '2023-06-01'),
(88, 327193, 42, 20, 2135730.8006468325, 1, '2023-06-01', 1, '2023-06-01'),
(89, 327193, 42, 20, 832963.9861386430, 1, '2023-06-01', 1, '2023-06-01'),
(90, 327193, 42, 20, 1191403.1184762571, 1, '2023-06-01', 1, '2023-06-01'),
(91, 327193, 42, 20, 2315904.4310234092, 1, '2023-06-01', 1, '2023-06-01'),
(92, 327193, 42, 20, 2378233.1527299636, 1, '2023-06-01', 1, '2023-06-01'),
(93, 327193, 42, 20, 2435780.8151995664, 1, '2023-06-01', 1, '2023-06-01'),
(94, 327193, 42, 20, 1344831.8285487770, 1, '2023-06-01', 1, '2023-06-01'),
(95, 327193, 42, 20, 585052.6434176760, 1, '2023-06-01', 1, '2023-06-01'),
(96, 327193, 42, 20, 2053040.3258372754, 1, '2023-06-01', 1, '2023-06-01'),
(97, 327193, 42, 20, 2365520.3732510295, 1, '2023-06-01', 1, '2023-06-01'),
(98, 327193, 42, 20, 2118714.4488342401, 1, '2023-06-01', 1, '2023-06-01'),
(99, 327193, 42, 20, 1922606.2825482442, 1, '2023-06-01', 1, '2023-06-01'),
(100, 327193, 42, 20, 147405.6234444021, 1, '2023-06-01', 1, '2023-06-01'),
(101, 327193, 42, 20, 1796949.6246779020, 1, '2023-06-01', 1, '2023-06-01'),
(102, 327193, 42, 20, 1708817.0311155135, 1, '2023-06-01', 1, '2023-06-01'),
(103, 327193, 42, 20, 2223618.5365242683, 1, '2023-06-01', 1, '2023-06-01'),
(104, 327193, 42, 20, 1974526.3504637713, 1, '2023-06-01', 1, '2023-06-01'),
(105, 327193, 42, 20, 1276259.7914260320, 1, '2023-06-01', 1, '2023-06-01'),
(106, 327193, 42, 20, 940496.3731198306, 1, '2023-06-01', 1, '2023-06-01'),
(107, 327193, 42, 20, 2084087.3445092704, 1, '2023-06-01', 1, '2023-06-01'),
(108, 327193, 42, 20, 2008971.2828100603, 1, '2023-06-01', 1, '2023-06-01'),
(109, 327193, 42, 20, 1656290.9727369704, 1, '2023-06-01', 1, '2023-06-01'),
(110, 327193, 42, 20, 1676680.6820232073, 1, '2023-06-01', 1, '2023-06-01'),
(111, 327193, 42, 20, 216661.0433700839, 1, '2023-06-01', 1, '2023-06-01'),
(112, 327193, 42, 20, 2490471.5879002250, 1, '2023-06-01', 1, '2023-06-01'),
(113, 327193, 42, 20, 2069316.4777815765, 1, '2023-06-01', 1, '2023-06-01'),
(114, 327193, 42, 20, 2274516.9681115396, 1, '2023-06-01', 1, '2023-06-01'),
(115, 327193, 42, 20, 2112015.3856237755, 1, '2023-06-01', 1, '2023-06-01'),
(116, 327193, 42, 20, 990108.0642298177, 1, '2023-06-01', 1, '2023-06-01'),
(117, 327193, 42, 20, 1494614.1005848722, 1, '2023-06-01', 1, '2023-06-01'),
(118, 327193, 42, 20, 2317905.0940632578, 1, '2023-06-01', 1, '2023-06-01'),
(119, 327193, 42, 20, 2222614.7328786515, 1, '2023-06-01', 1, '2023-06-01'),
(120, 327193, 42, 20, 2311461.1678904463, 1, '2023-06-01', 1, '2023-06-01'),
(121, 327193, 42, 20, 1516535.1083566482, 1, '2023-06-01', 1, '2023-06-01'),
(122, 327193, 42, 20, 878569.8737582616, 1, '2023-06-01', 1, '2023-06-01'),
(123, 327193, 42, 20, 1870371.9645822641, 1, '2023-06-01', 1, '2023-06-01'),
(124, 327193, 42, 20, 1895088.8464299257, 1, '2023-06-01', 1, '2023-06-01'),
(125, 327193, 42, 20, 1964945.0087466586, 1, '2023-06-01', 1, '2023-06-01'),
(126, 327193, 42, 20, 2519068.5651450145, 1, '2023-06-01', 1, '2023-06-01'),
(2, 327193, 42, 40, 0.9863164893607469, 1, '2023-06-01', 1, '2023-06-01'),
(3, 327193, 42, 40, 0.25380055825923764, 1, '2023-06-01', 1, '2023-06-01'),
(4, 327193, 42, 40, 0.7347565723981011, 1, '2023-06-01', 1, '2023-06-01'),
(5, 327193, 42, 40, 0.16125619601369012, 1, '2023-06-01', 1, '2023-06-01'),
(6, 327193, 42, 40, 0.3922138926977783, 1, '2023-06-01', 1, '2023-06-01'),
(7, 327193, 42, 40, 0.01999048684241711, 1, '2023-06-01', 1, '2023-06-01'),
(8, 327193, 42, 40, 0.8800191102656876, 1, '2023-06-01', 1, '2023-06-01'),
(9, 327193, 42, 40, 0.546007798639179, 1, '2023-06-01', 1, '2023-06-01'),
(10, 327193, 42, 40, 0.6853880723428194, 1, '2023-06-01', 1, '2023-06-01'),
(11, 327193, 42, 40, 0.5861926098581288, 1, '2023-06-01', 1, '2023-06-01'),
(12, 327193, 42, 40, 0.1307603741295913, 1, '2023-06-01', 1, '2023-06-01'),
(13, 327193, 42, 40, 0.9923567518114264, 1, '2023-06-01', 1, '2023-06-01'),
(14, 327193, 42, 40, 0.9117397940938387, 1, '2023-06-01', 1, '2023-06-01'),
(15, 327193, 42, 40, 0.4361723897975537, 1, '2023-06-01', 1, '2023-06-01'),
(16, 327193, 42, 40, 0.18435403082617308, 1, '2023-06-01', 1, '2023-06-01'),
(17, 327193, 42, 40, 0.14435976474075884, 1, '2023-06-01', 1, '2023-06-01'),
(18, 327193, 42, 40, 0.3855178262482848, 1, '2023-06-01', 1, '2023-06-01'),
(19, 327193, 42, 40, 0.14245943037063669, 1, '2023-06-01', 1, '2023-06-01'),
(20, 327193, 42, 40, 0.6683917889214991, 1, '2023-06-01', 1, '2023-06-01'),
(21, 327193, 42, 40, 0.6775254800912477, 1, '2023-06-01', 1, '2023-06-01'),
(22, 327193, 42, 40, 0.8917276783337718, 1, '2023-06-01', 1, '2023-06-01'),
(23, 327193, 42, 40, 0.39986417325549406, 1, '2023-06-01', 1, '2023-06-01'),
(24, 327193, 42, 40, 0.7903201743900261, 1, '2023-06-01', 1, '2023-06-01'),
(25, 327193, 42, 40, 0.10058826742170879, 1, '2023-06-01', 1, '2023-06-01'),
(26, 327193, 42, 40, 0.517959231476901, 1, '2023-06-01', 1, '2023-06-01'),
(27, 327193, 42, 40, 0.6702292263019606, 1, '2023-06-01', 1, '2023-06-01'),
(28, 327193, 42, 40, 0.47789930038711037, 1, '2023-06-01', 1, '2023-06-01'),
(29, 327193, 42, 40, 0.41182757915055124, 1, '2023-06-01', 1, '2023-06-01'),
(30, 327193, 42, 40, 0.3879342339458304, 1, '2023-06-01', 1, '2023-06-01'),
(31, 327193, 42, 40, 0.36373687051301207, 1, '2023-06-01', 1, '2023-06-01'),
(32, 327193, 42, 40, 0.04252816178600494, 1, '2023-06-01', 1, '2023-06-01'),
(33, 327193, 42, 40, 0.7419532950179406, 1, '2023-06-01', 1, '2023-06-01'),
(34, 327193, 42, 40, 0.9820106548991694, 1, '2023-06-01', 1, '2023-06-01'),
(35, 327193, 42, 40, 0.6750700289990296, 1, '2023-06-01', 1, '2023-06-01'),
(36, 327193, 42, 40, 0.5266581663576649, 1, '2023-06-01', 1, '2023-06-01'),
(37, 327193, 42, 40, 0.5502332052509084, 1, '2023-06-01', 1, '2023-06-01'),
(38, 327193, 42, 40, 0.08208713837508486, 1, '2023-06-01', 1, '2023-06-01'),
(39, 327193, 42, 40, 0.91563777340016, 1, '2023-06-01', 1, '2023-06-01'),
(40, 327193, 42, 40, 0.4016225198001745, 1, '2023-06-01', 1, '2023-06-01'),
(41, 327193, 42, 40, 0.7989090531634565, 1, '2023-06-01', 1, '2023-06-01'),
(42, 327193, 42, 40, 0.5140488820566291, 1, '2023-06-01', 1, '2023-06-01'),
(43, 327193, 42, 40, 0.015034365034754082, 1, '2023-06-01', 1, '2023-06-01'),
(44, 327193, 42, 40, 0.12314800300685547, 1, '2023-06-01', 1, '2023-06-01'),
(45, 327193, 42, 40, 0.9902511915413037, 1, '2023-06-01', 1, '2023-06-01'),
(46, 327193, 42, 40, 0.7314125894825918, 1, '2023-06-01', 1, '2023-06-01'),
(47, 327193, 42, 40, 0.9370555472543305, 1, '2023-06-01', 1, '2023-06-01'),
(48, 327193, 42, 40, 0.8686257914883088, 1, '2023-06-01', 1, '2023-06-01'),
(49, 327193, 42, 40, 0.9167086507869985, 1, '2023-06-01', 1, '2023-06-01'),
(50, 327193, 42, 40, 0.2832594307363121, 1, '2023-06-01', 1, '2023-06-01'),
(51, 327193, 42, 40, 0.6040402936563368, 1, '2023-06-01', 1, '2023-06-01'),
(52, 327193, 42, 40, 0.30716446505087025, 1, '2023-06-01', 1, '2023-06-01'),
(53, 327193, 42, 40, 0.9472306559656974, 1, '2023-06-01', 1, '2023-06-01'),
(54, 327193, 42, 40, 0.3317034291853147, 1, '2023-06-01', 1, '2023-06-01'),
(55, 327193, 42, 40, 0.6846553999377749, 1, '2023-06-01', 1, '2023-06-01'),
(56, 327193, 42, 40, 0.9539349134741774, 1, '2023-06-01', 1, '2023-06-01'),
(57, 327193, 42, 40, 0.05602187250223023, 1, '2023-06-01', 1, '2023-06-01'),
(58, 327193, 42, 40, 0.7283416377099426, 1, '2023-06-01', 1, '2023-06-01'),
(59, 327193, 42, 40, 0.45614470650748495, 1, '2023-06-01', 1, '2023-06-01'),
(60, 327193, 42, 40, 0.5135596042340886, 1, '2023-06-01', 1, '2023-06-01'),
(61, 327193, 42, 40, 0.7618422757653517, 1, '2023-06-01', 1, '2023-06-01'),
(62, 327193, 42, 40, 0.02423695338426657, 1, '2023-06-01', 1, '2023-06-01'),
(63, 327193, 42, 40, 0.29777443189887554, 1, '2023-06-01', 1, '2023-06-01'),
(64, 327193, 42, 40, 0.38541740925856827, 1, '2023-06-01', 1, '2023-06-01'),
(65, 327193, 42, 40, 0.7631954718458053, 1, '2023-06-01', 1, '2023-06-01'),
(66, 327193, 42, 40, 0.1976109669719447, 1, '2023-06-01', 1, '2023-06-01'),
(67, 327193, 42, 40, 0.796481684665086, 1, '2023-06-01', 1, '2023-06-01'),
(68, 327193, 42, 40, 0.10553551085272617, 1, '2023-06-01', 1, '2023-06-01'),
(69, 327193, 42, 40, 0.10355067213498848, 1, '2023-06-01', 1, '2023-06-01'),
(70, 327193, 42, 40, 0.23945756532112716, 1, '2023-06-01', 1, '2023-06-01'),
(71, 327193, 42, 40, 0.7952167025379302, 1, '2023-06-01', 1, '2023-06-01'),
(72, 327193, 42, 40, 0.5677977115263081, 1, '2023-06-01', 1, '2023-06-01'),
(73, 327193, 42, 40, 0.8513671605269642, 1, '2023-06-01', 1, '2023-06-01'),
(74, 327193, 42, 40, 0.32150756441857964, 1, '2023-06-01', 1, '2023-06-01'),
(75, 327193, 42, 40, 0.5825409153505516, 1, '2023-06-01', 1, '2023-06-01'),
(76, 327193, 42, 40, 0.3026892763296105, 1, '2023-06-01', 1, '2023-06-01'),
(77, 327193, 42, 40, 0.16833987040542053, 1, '2023-06-01', 1, '2023-06-01'),
(78, 327193, 42, 40, 0.9053419520180187, 1, '2023-06-01', 1, '2023-06-01'),
(79, 327193, 42, 40, 0.8505672641688131, 1, '2023-06-01', 1, '2023-06-01'),
(80, 327193, 42, 40, 0.46281350817092914, 1, '2023-06-01', 1, '2023-06-01'),
(81, 327193, 42, 40, 0.28154262052099, 1, '2023-06-01', 1, '2023-06-01'),
(82, 327193, 42, 40, 0.7585142521874274, 1, '2023-06-01', 1, '2023-06-01'),
(83, 327193, 42, 40, 0.7739227749153924, 1, '2023-06-01', 1, '2023-06-01'),
(84, 327193, 42, 40, 0.0329024277636869, 1, '2023-06-01', 1, '2023-06-01'),
(85, 327193, 42, 40, 0.983526793770064, 1, '2023-06-01', 1, '2023-06-01'),
(86, 327193, 42, 40, 0.13062009713180844, 1, '2023-06-01', 1, '2023-06-01'),
(87, 327193, 42, 40, 0.7950879431786194, 1, '2023-06-01', 1, '2023-06-01'),
(88, 327193, 42, 40, 0.06810451383981275, 1, '2023-06-01', 1, '2023-06-01'),
(89, 327193, 42, 40, 0.9121301438755087, 1, '2023-06-01', 1, '2023-06-01'),
(90, 327193, 42, 40, 0.5041942990522311, 1, '2023-06-01', 1, '2023-06-01'),
(91, 327193, 42, 40, 0.027765100050249347, 1, '2023-06-01', 1, '2023-06-01'),
(92, 327193, 42, 40, 0.9581182678427667, 1, '2023-06-01', 1, '2023-06-01'),
(93, 327193, 42, 40, 0.43135941351277207, 1, '2023-06-01', 1, '2023-06-01'),
(94, 327193, 42, 40, 0.06262676041553616, 1, '2023-06-01', 1, '2023-06-01'),
(95, 327193, 42, 40, 0.6361016550858875, 1, '2023-06-01', 1, '2023-06-01'),
(96, 327193, 42, 40, 0.17477976116056837, 1, '2023-06-01', 1, '2023-06-01'),
(97, 327193, 42, 40, 0.8923235890888408, 1, '2023-06-01', 1, '2023-06-01'),
(98, 327193, 42, 40, 0.779063418127865, 1, '2023-06-01', 1, '2023-06-01'),
(99, 327193, 42, 40, 0.9544473456498693, 1, '2023-06-01', 1, '2023-06-01'),
(100, 327193, 42, 40, 0.14435512554250152, 1, '2023-06-01', 1, '2023-06-01'),
(101, 327193, 42, 40, 0.3794641006139311, 1, '2023-06-01', 1, '2023-06-01'),
(102, 327193, 42, 40, 0.2999224964944366, 1, '2023-06-01', 1, '2023-06-01'),
(103, 327193, 42, 40, 0.9512163938528418, 1, '2023-06-01', 1, '2023-06-01'),
(104, 327193, 42, 40, 0.06678295918585209, 1, '2023-06-01', 1, '2023-06-01'),
(105, 327193, 42, 40, 0.32601114624240346, 1, '2023-06-01', 1, '2023-06-01'),
(106, 327193, 42, 40, 0.6069758037639321, 1, '2023-06-01', 1, '2023-06-01'),
(107, 327193, 42, 40, 0.11966294462038674, 1, '2023-06-01', 1, '2023-06-01'),
(108, 327193, 42, 40, 0.6510358984889928, 1, '2023-06-01', 1, '2023-06-01'),
(109, 327193, 42, 40, 0.7383222811469532, 1, '2023-06-01', 1, '2023-06-01'),
(110, 327193, 42, 40, 0.08193338600300915, 1, '2023-06-01', 1, '2023-06-01'),
(111, 327193, 42, 40, 0.09106626317540256, 1, '2023-06-01', 1, '2023-06-01'),
(112, 327193, 42, 40, 0.7197622393598806, 1, '2023-06-01', 1, '2023-06-01'),
(113, 327193, 42, 40, 0.23295502160895287, 1, '2023-06-01', 1, '2023-06-01'),
(114, 327193, 42, 40, 0.8011222074153368, 1, '2023-06-01', 1, '2023-06-01'),
(115, 327193, 42, 40, 0.8499128093627099, 1, '2023-06-01', 1, '2023-06-01'),
(116, 327193, 42, 40, 0.6423231933257371, 1, '2023-06-01', 1, '2023-06-01'),
(117, 327193, 42, 40, 0.9728208307403371, 1, '2023-06-01', 1, '2023-06-01'),
(118, 327193, 42, 40, 0.640277024649683, 1, '2023-06-01', 1, '2023-06-01'),
(119, 327193, 42, 40, 0.42405487649971785, 1, '2023-06-01', 1, '2023-06-01'),
(120, 327193, 42, 40, 0.3627775857342618, 1, '2023-06-01', 1, '2023-06-01'),
(121, 327193, 42, 40, 0.13825126003868438, 1, '2023-06-01', 1, '2023-06-01'),
(122, 327193, 42, 40, 0.9284069619199796, 1, '2023-06-01', 1, '2023-06-01'),
(123, 327193, 42, 40, 0.36857776133833076, 1, '2023-06-01', 1, '2023-06-01'),
(124, 327193, 42, 40, 0.5879769108749628, 1, '2023-06-01', 1, '2023-06-01'),
(125, 327193, 42, 40, 0.7351977252233654, 1, '2023-06-01', 1, '2023-06-01'),
(126, 327193, 42, 40, 0.45840877914689326, 1, '2023-06-01', 1, '2023-06-01'),
(2, 327193, 48214, 20, 2368154.3145157305, 1, '2023-06-01', 1, '2023-06-01'),
(3, 327193, 48214, 20, 2375615.8620044992, 1, '2023-06-01', 1, '2023-06-01'),
(4, 327193, 48214, 20, 1596577.6310000821, 1, '2023-06-01', 1, '2023-06-01'),
(5, 327193, 48214, 20, 2392672.5972256453, 1, '2023-06-01', 1, '2023-06-01'),
(6, 327193, 48214, 20, 431203.1889451026, 1, '2023-06-01', 1, '2023-06-01'),
(7, 327193, 48214, 20, 1794059.9922638678, 1, '2023-06-01', 1, '2023-06-01'),
(8, 327193, 48214, 20, 2459921.9309730927, 1, '2023-06-01', 1, '2023-06-01'),
(9, 327193, 48214, 20, 1947251.0221359500, 1, '2023-06-01', 1, '2023-06-01'),
(10, 327193, 48214, 20, 1753572.1555218293, 1, '2023-06-01', 1, '2023-06-01'),
(11, 327193, 48214, 20, 281918.5924368540, 1, '2023-06-01', 1, '2023-06-01'),
(12, 327193, 48214, 20, 2366899.8588799547, 1, '2023-06-01', 1, '2023-06-01'),
(13, 327193, 48214, 20, 2224686.0079855562, 1, '2023-06-01', 1, '2023-06-01'),
(14, 327193, 48214, 20, 1928119.0950919063, 1, '2023-06-01', 1, '2023-06-01'),
(15, 327193, 48214, 20, 1984757.9098836368, 1, '2023-06-01', 1, '2023-06-01'),
(16, 327193, 48214, 20, 834342.0182140102, 1, '2023-06-01', 1, '2023-06-01'),
(17, 327193, 48214, 20, 882330.0257781309, 1, '2023-06-01', 1, '2023-06-01'),
(18, 327193, 48214, 20, 2262077.0680779807, 1, '2023-06-01', 1, '2023-06-01'),
(19, 327193, 48214, 20, 1999581.1129781113, 1, '2023-06-01', 1, '2023-06-01'),
(20, 327193, 48214, 20, 1783488.3254934903, 1, '2023-06-01', 1, '2023-06-01'),
(21, 327193, 48214, 20, 2006883.1020940801, 1, '2023-06-01', 1, '2023-06-01'),
(22, 327193, 48214, 20, 384754.2372630023, 1, '2023-06-01', 1, '2023-06-01'),
(23, 327193, 48214, 20, 2129601.0318291855, 1, '2023-06-01', 1, '2023-06-01'),
(24, 327193, 48214, 20, 2025085.2367561092, 1, '2023-06-01', 1, '2023-06-01'),
(25, 327193, 48214, 20, 1889924.0099629068, 1, '2023-06-01', 1, '2023-06-01'),
(26, 327193, 48214, 20, 2259871.8927611931, 1, '2023-06-01', 1, '2023-06-01'),
(27, 327193, 48214, 20, 821015.8962793161, 1, '2023-06-01', 1, '2023-06-01'),
(28, 327193, 48214, 20, 907227.2583836050, 1, '2023-06-01', 1, '2023-06-01'),
(29, 327193, 48214, 20, 1915929.8671526500, 1, '2023-06-01', 1, '2023-06-01'),
(30, 327193, 48214, 20, 2186035.5122893753, 1, '2023-06-01', 1, '2023-06-01'),
(31, 327193, 48214, 20, 2049449.2927000313, 1, '2023-06-01', 1, '2023-06-01'),
(32, 327193, 48214, 20, 1506791.6404390937, 1, '2023-06-01', 1, '2023-06-01'),
(33, 327193, 48214, 20, 929502.0638931423, 1, '2023-06-01', 1, '2023-06-01'),
(34, 327193, 48214, 20, 2293694.3522690941, 1, '2023-06-01', 1, '2023-06-01'),
(35, 327193, 48214, 20, 2162128.9257015098, 1, '2023-06-01', 1, '2023-06-01'),
(36, 327193, 48214, 20, 1908126.6779175677, 1, '2023-06-01', 1, '2023-06-01'),
(37, 327193, 48214, 20, 1740336.6474522388, 1, '2023-06-01', 1, '2023-06-01'),
(38, 327193, 48214, 20, 2163453.6576557758, 1, '2023-06-01', 1, '2023-06-01'),
(39, 327193, 48214, 20, 1978917.3683372434, 1, '2023-06-01', 1, '2023-06-01'),
(40, 327193, 48214, 20, 3098476.2768382430, 1, '2023-06-01', 1, '2023-06-01'),
(41, 327193, 48214, 20, 2018737.4383185407, 1, '2023-06-01', 1, '2023-06-01'),
(42, 327193, 48214, 20, 624551.6396983879, 1, '2023-06-01', 1, '2023-06-01'),
(43, 327193, 48214, 20, 662799.5795325738, 1, '2023-06-01', 1, '2023-06-01'),
(44, 327193, 48214, 20, 2720385.0663843003, 1, '2023-06-01', 1, '2023-06-01'),
